AverageEpisodeLength,AveragePolicyProb[0],AveragePolicyProb[1],AverageReturn,Entropy,ExplainedVariance,Iteration,MaxEpisodeLength,MaxReturn,MeanKL,MinEpisodeLength,MinReturn,Perplexity,StdEpisodeLength,StdReturn,TotalNEpisodes,TotalNSamples,ValueLoss
16.46,0.4987003803253174,0.5012996792793274,16.46,0.69314044713974,5.636321154911528e-06,1,52,52.0,0.0008966129389591515,5,5.0,1.9999873638153076,8.66881768178337,8.66881768178337,122,2000,145.45249938964844
18.35,0.5035102367401123,0.4964897334575653,18.35,0.6923847794532776,0.00012646749767564192,2,68,68.0,0.002407723804935813,7,7.0,1.9984769821166992,11.847679097612325,11.847679097612325,231,4000,202.2234649658203
19.94,0.5014128684997559,0.4985870122909546,19.94,0.6876740455627441,-0.009749322088283607,3,67,67.0,0.0023039134684950113,6,6.0,1.9891207218170166,11.423502089989743,11.423502089989743,333,6000,155.0696563720703
20.28,0.49891629815101624,0.5010837316513062,20.28,0.6809706687927246,0.0023747875286691533,4,67,67.0,0.0010463776998221874,7,7.0,1.975934624671936,11.503981919318198,11.503981919318198,427,8000,123.24012756347656
20.92,0.5174206495285034,0.4825794994831085,20.92,0.6715173125267029,-0.004720000370508348,5,66,66.0,0.001112243509851396,6,6.0,1.9576369524002075,11.792099049787533,11.792099049787533,526,10000,89.52167510986328
21.59,0.5225841999053955,0.4774158298969269,21.59,0.6624178290367126,0.008892433159895519,6,83,83.0,0.0010951639851555228,6,6.0,1.9402461051940918,15.522947529383712,15.522947529383712,620,12000,145.32382202148438
23.0,0.5040432214736938,0.4959567189216614,23.0,0.6532318592071533,0.05727728184357839,7,83,83.0,0.0011058175005018711,7,7.0,1.9229755401611328,15.110923201446033,15.110923201446033,708,14000,105.88957214355469
23.25,0.5038728713989258,0.49612709879875183,23.25,0.642195999622345,0.12471685130600496,8,81,81.0,0.0009958894224837422,7,7.0,1.9026148319244385,13.84151364555192,13.84151364555192,794,16000,89.31029510498047
23.61,0.5197073221206665,0.4802924394607544,23.61,0.6246793866157532,0.12721982351663474,9,63,63.0,0.0008268622914329171,7,7.0,1.8709803819656372,12.999149972209723,12.999149972209723,876,18000,89.54672241210938
26.54,0.4988251030445099,0.5011748671531677,26.54,0.6154852509498596,0.07760457643549923,10,120,120.0,0.0008626300259493291,7,7.0,1.8548552989959717,18.136934691397002,18.136934691397002,955,20000,170.61883544921875
27.28,0.4875573217868805,0.5124426484107971,27.28,0.6128392219543457,0.09745923418435498,11,137,137.0,0.0010036423336714506,7,7.0,1.8506386280059814,19.689631789345377,19.689631789345377,1024,22000,166.90872192382812
31.21,0.5067545771598816,0.49324536323547363,31.21,0.6051967740058899,0.1475928106828811,12,137,137.0,0.0009282164392061532,6,6.0,1.8375053405761719,20.806871461130335,20.806871461130335,1083,24000,170.82101440429688
35.56,0.512285053730011,0.487714946269989,35.56,0.5855027437210083,0.09164150526439263,13,165,165.0,0.000945880776271224,6,6.0,1.804459571838379,26.120995386853085,26.120995386853085,1138,26000,309.2252502441406
36.78,0.49840056896209717,0.5015994906425476,36.78,0.5681272745132446,0.10898002489995251,14,165,165.0,0.000980351003818214,7,7.0,1.7747254371643066,29.071491189823753,29.071491189823753,1195,28000,243.09034729003906
32.8,0.4922375977039337,0.5077623724937439,32.8,0.5534427762031555,0.1443972859255387,15,103,103.0,0.0009467588970437646,7,7.0,1.7510885000228882,21.11492363235065,21.11492363235065,1252,30000,162.03675842285156
38.37,0.49444299936294556,0.505557119846344,38.37,0.5373478531837463,0.11750898521423758,16,113,113.0,0.0010012618731707335,7,7.0,1.7265558242797852,24.315285316031147,24.315285316031147,1295,32000,313.57183837890625
49.12,0.4673687517642975,0.5326310396194458,49.12,0.5416703224182129,0.09209793809501832,17,179,179.0,0.0009950391249731183,7,7.0,1.7349083423614502,35.886008415537106,35.886008415537106,1326,34000,530.448974609375
54.77,0.5040282607078552,0.4959717392921448,54.77,0.5063754916191101,0.08982766666931874,18,190,190.0,0.001001247321255505,9,9.0,1.6794617176055908,41.848979676928806,41.848979676928806,1364,36000,401.1923828125
59.8,0.5332638621330261,0.4667362570762634,59.8,0.501214861869812,0.1495654391830602,19,190,190.0,0.0008426778367720544,9,9.0,1.6725294589996338,42.93739628808436,42.93739628808436,1396,38000,336.2961730957031
55.25,0.5267103314399719,0.4732899069786072,55.25,0.4858080744743347,0.08409772970962714,20,175,175.0,0.0008446476422250271,9,9.0,1.6509114503860474,38.46410664502687,38.46410664502687,1434,40000,400.156005859375
56.14,0.47043752670288086,0.5295624136924744,56.14,0.47033506631851196,0.12003871107015096,21,175,175.0,0.0009379942785017192,9,9.0,1.6268280744552612,39.062519119995315,39.062519119995315,1472,42000,340.0352783203125
59.87,0.496498703956604,0.5035011768341064,59.87,0.48991626501083374,0.20669207624027597,22,182,182.0,0.0009754264028742909,9,9.0,1.65580415725708,41.20646915230665,41.20646915230665,1496,44000,392.78338623046875
61.66,0.5153878927230835,0.4846121072769165,61.66,0.4561527967453003,0.14756908947389047,23,182,182.0,0.0008593822130933404,9,9.0,1.6079285144805908,40.70926675831929,40.70926675831929,1533,46000,405.57464599609375
64.91,0.4950806200504303,0.5049194693565369,64.91,0.4341602027416229,0.14521457526121073,24,182,182.0,0.0009368126047775149,9,9.0,1.5743353366851807,41.97358574151129,41.97358574151129,1561,48000,413.977294921875
69.62,0.5234377384185791,0.47656217217445374,69.62,0.4449932277202606,0.1284305546080855,25,214,214.0,0.0007638449314981699,9,9.0,1.5907927751541138,48.61497300215233,48.61497300215233,1585,50000,568.8394775390625
74.25,0.4900159239768982,0.5099840760231018,74.25,0.4441145062446594,0.12072543367836419,26,214,214.0,0.0008910258766263723,7,7.0,1.5899744033813477,52.15829272512666,52.15829272512666,1608,52000,468.445068359375
81.55,0.4907490015029907,0.5092509388923645,81.55,0.40954917669296265,0.21357092854711124,27,214,214.0,0.000849853444378823,7,7.0,1.5404263734817505,53.27163879589213,53.27163879589213,1630,54000,383.80816650390625
81.25,0.5030473470687866,0.49695274233818054,81.25,0.41115236282348633,0.12306019738809593,28,214,214.0,0.0009450039360672235,7,7.0,1.5425535440444946,53.83258771413465,53.83258771413465,1659,56000,489.5716247558594
81.19,0.4797462522983551,0.5202535390853882,81.19,0.39316678047180176,0.14762679947802304,29,211,211.0,0.0005642403266392648,7,7.0,1.5184513330459595,49.975132816231714,49.975132816231714,1684,58000,361.1234436035156
77.29,0.5012902617454529,0.49870970845222473,77.29,0.39827898144721985,0.04205517363045019,30,201,201.0,0.0006217413465492427,12,12.0,1.526288628578186,48.04150184996301,48.04150184996301,1709,60000,575.381103515625
82.91,0.48525115847587585,0.5147488117218018,82.91,0.39825814962387085,0.1790376819411218,31,283,283.0,0.0009188144467771053,12,12.0,1.5251107215881348,57.216972132401416,57.216972132401416,1727,62000,610.8900756835938
85.46,0.5177279114723206,0.48227205872535706,85.46,0.4050212502479553,0.05399254313696045,32,283,283.0,0.0007902294746600091,12,12.0,1.5373693704605103,59.959556369272775,59.959556369272775,1748,64000,543.7733154296875
88.34,0.49646809697151184,0.5035318732261658,88.34,0.36491793394088745,0.2087459300691633,33,283,283.0,0.000890891591552645,12,12.0,1.47901451587677,60.78638334364037,60.78638334364037,1771,66000,410.2724609375
97.08,0.4825167953968048,0.5174829959869385,97.08,0.3886122703552246,0.08088650117278662,34,312,312.0,0.0008052954799495637,12,12.0,1.5138651132583618,67.48684019866391,67.48684019866391,1787,68000,755.6409301757812
101.93,0.5059503316879272,0.4940497577190399,101.93,0.3705161511898041,0.013622894650784034,35,331,331.0,0.0008737819152884185,12,12.0,1.4865384101867676,71.81897451231116,71.81897451231116,1808,70000,702.4234619140625
106.47,0.49594220519065857,0.5040577054023743,106.47,0.3690853714942932,0.0029694226474313856,36,400,400.0,0.0008982397266663611,12,12.0,1.4845236539840698,73.99627760907977,73.99627760907977,1823,72000,708.88427734375
105.88,0.4678691029548645,0.5321305394172668,105.88,0.3626416027545929,0.011626021968811018,37,400,400.0,0.0009178820764645934,11,11.0,1.4773221015930176,79.30627717904807,79.30627717904807,1842,74000,788.5907592773438
104.89,0.49319201707839966,0.5068080425262451,104.89,0.33032870292663574,0.08623716828645456,38,400,400.0,0.0006891496595926583,9,9.0,1.4314520359039307,81.23076941652099,81.23076941652099,1865,76000,702.3488159179688
109.8,0.4849627614021301,0.5150370001792908,109.8,0.3240332305431366,0.24745081823704473,39,400,400.0,0.0006647884147241712,9,9.0,1.4229916334152222,78.6031805972252,78.6031805972252,1881,78000,383.6266174316406
111.16,0.511353075504303,0.4886469841003418,111.16,0.3426496982574463,0.15525864649719667,40,400,400.0,0.0007676489185541868,9,9.0,1.4504252672195435,82.37520500733214,82.37520500733214,1898,80000,655.4033203125
106.19,0.49889832735061646,0.5011017918586731,106.19,0.3220948278903961,0.16568461150622904,41,400,400.0,0.0008761556237004697,9,9.0,1.4212697744369507,80.25605210823666,80.25605210823666,1917,82000,589.4271850585938
101.57,0.4833409786224365,0.5166589617729187,101.57,0.323665052652359,0.036642066702476495,42,343,343.0,0.00074868428055197,9,9.0,1.424189805984497,72.87705468801549,72.87705468801549,1934,84000,682.8924560546875
