# {"t_start": 1558372384.632509} 
r,l,t
14.0,14,0.024386
17.0,17,0.026098
18.0,18,0.026782
19.0,19,0.027682
9.0,9,0.032378
10.0,10,0.032434
10.0,10,0.03361
9.0,9,0.038119
25.0,25,0.039791
14.0,14,0.042151
9.0,9,0.04378
24.0,24,0.047189
13.0,13,0.047825
9.0,9,0.049019
16.0,16,0.052293
9.0,9,0.053587
7.0,7,0.053636
12.0,12,0.059868
11.0,11,0.060598
24.0,24,0.062655
6.0,6,0.064459
11.0,11,0.067413
23.0,23,0.068941
12.0,12,0.07224
9.0,9,0.072839
11.0,11,0.079304
19.0,19,0.083584
10.0,10,0.085589
10.0,10,0.089973
17.0,17,0.095917
54.0,54,0.095974
10.0,10,0.1018
58.0,58,0.10362
15.0,15,0.104753
12.0,12,0.109586
33.0,33,0.110503
16.0,16,0.114474
11.0,11,0.11747
20.0,20,0.118889
12.0,12,0.122378
9.0,9,0.124745
14.0,14,0.126477
28.0,28,0.128625
13.0,13,0.130357
9.0,9,0.132215
6.0,6,0.132932
16.0,16,0.134693
9.0,9,0.136482
9.0,9,0.137649
9.0,9,0.138343
8.0,8,0.141512
9.0,9,0.143157
15.0,15,0.143749
9.0,9,0.143789
8.0,8,0.14592
8.0,8,0.148584
15.0,15,0.152785
19.0,19,0.15451
12.0,12,0.156093
19.0,19,0.158008
9.0,9,0.160204
9.0,9,0.161314
16.0,16,0.167541
33.0,33,0.173228
9.0,9,0.173287
14.0,14,0.181496
27.0,27,0.189094
17.0,17,0.191314
8.0,8,0.193686
57.0,57,0.194396
14.0,14,0.205109
16.0,16,0.205721
10.0,10,0.211904
14.0,14,0.21361
92.0,92,0.219512
24.0,24,0.226923
21.0,21,0.226982
12.0,12,0.227009
10.0,10,0.233363
15.0,15,0.237117
12.0,12,0.240924
28.0,28,0.245216
11.0,11,0.247912
21.0,21,0.249636
16.0,16,0.25455
10.0,10,0.25567
15.0,15,0.25678
103.0,103,0.257415
8.0,8,0.259567
8.0,8,0.260757
8.0,8,0.26239
14.0,14,0.26508
20.0,20,0.271437
16.0,16,0.272042
13.0,13,0.273173
29.0,29,0.278195
10.0,10,0.279319
17.0,17,0.281562
8.0,8,0.283145
16.0,16,0.288711
