# {"t_start": 1558153195.241317} 
r,l,t
9.0,9,0.038975
12.0,12,0.041315
15.0,15,0.04444
10.0,10,0.049527
19.0,19,0.052679
34.0,34,0.055799
33.0,33,0.06598
15.0,15,0.066733
22.0,22,0.067496
30.0,30,0.068922
12.0,12,0.076888
15.0,15,0.077622
23.0,23,0.081555
28.0,28,0.085582
15.0,15,0.087151
18.0,18,0.089847
19.0,19,0.094532
25.0,25,0.102367
13.0,13,0.103113
22.0,22,0.104506
29.0,29,0.106567
11.0,11,0.110605
11.0,11,0.117922
21.0,21,0.11866
26.0,26,0.12395
39.0,39,0.128569
15.0,15,0.128626
16.0,16,0.139428
40.0,40,0.144672
28.0,28,0.147407
13.0,13,0.148134
13.0,13,0.153222
12.0,12,0.15559
49.0,49,0.156224
24.0,24,0.162678
16.0,16,0.166
18.0,18,0.167999
31.0,31,0.173235
19.0,19,0.175299
18.0,18,0.179862
28.0,28,0.18468
15.0,15,0.18541
23.0,23,0.189149
16.0,16,0.195699
24.0,24,0.19684
16.0,16,0.196916
17.0,17,0.201018
12.0,12,0.204377
12.0,12,0.205104
13.0,13,0.21287
18.0,18,0.212939
27.0,27,0.215136
11.0,11,0.22039
25.0,25,0.221745
15.0,15,0.225033
29.0,29,0.232266
11.0,11,0.232323
24.0,24,0.238163
25.0,25,0.24022
9.0,9,0.240276
14.0,14,0.249295
29.0,29,0.25716
23.0,23,0.264406
49.0,49,0.266455
15.0,15,0.267186
42.0,42,0.267914
10.0,10,0.273089
13.0,13,0.273146
18.0,18,0.279529
16.0,16,0.283417
18.0,18,0.284799
37.0,37,0.291304
18.0,18,0.295563
18.0,18,0.296956
36.0,36,0.303662
18.0,18,0.30372
12.0,12,0.303749
14.0,14,0.306396
12.0,12,0.311637
10.0,10,0.313006
17.0,17,0.315008
20.0,20,0.317074
10.0,10,0.318448
15.0,15,0.323016
19.0,19,0.327579
19.0,19,0.330907
25.0,25,0.333578
17.0,17,0.334484
11.0,11,0.338567
19.0,19,0.340563
10.0,10,0.345181
18.0,18,0.356733
30.0,30,0.360011
45.0,45,0.363342
57.0,57,1.685413
21.0,21,1.687709
24.0,24,1.693757
41.0,41,1.698939
17.0,17,1.700588
25.0,25,1.704283
11.0,11,1.71247
38.0,38,1.72717
32.0,32,1.736075
62.0,62,1.739872
22.0,22,1.743703
14.0,14,1.7506
71.0,71,1.753695
31.0,31,1.759696
13.0,13,1.769335
26.0,26,1.773117
41.0,41,1.774686
33.0,33,1.775512
13.0,13,1.779374
18.0,18,1.788351
12.0,12,1.79717
38.0,38,1.80394
39.0,39,1.808423
58.0,58,1.816791
25.0,25,1.82269
23.0,23,1.82575
18.0,18,1.830254
9.0,9,1.83709
18.0,18,1.839398
57.0,57,1.840241
16.0,16,1.850829
36.0,36,1.861082
36.0,36,1.863108
13.0,13,1.86944
41.0,41,1.877091
83.0,83,1.879101
30.0,30,1.888684
17.0,17,1.890017
25.0,25,1.893208
60.0,60,1.901434
22.0,22,1.904073
24.0,24,1.904132
22.0,22,1.907306
12.0,12,1.909398
13.0,13,1.91762
25.0,25,1.920201
29.0,29,1.922801
25.0,25,1.923535
9.0,9,1.929423
16.0,16,1.933385
23.0,23,1.935394
10.0,10,1.936112
18.0,18,1.944961
43.0,43,1.945698
17.0,17,1.947045
13.0,13,1.955344
17.0,17,1.95606
43.0,43,1.963213
29.0,29,1.964593
26.0,26,1.973196
17.0,17,1.974708
15.0,15,1.974766
17.0,17,1.984966
45.0,45,1.985793
17.0,17,1.986523
31.0,31,1.995498
20.0,20,1.999047
23.0,23,2.001688
11.0,11,2.006193
10.0,10,2.008724
35.0,35,2.008782
11.0,11,2.015863
10.0,10,2.017265
30.0,30,2.018015
18.0,18,2.022539
16.0,16,2.026639
25.0,25,2.376093
19.0,19,2.377705
29.0,29,2.380005
23.0,23,2.385096
22.0,22,2.392497
10.0,10,2.399878
35.0,35,2.403613
61.0,61,2.424895
56.0,56,2.426436
37.0,37,2.42725
44.0,44,2.436124
17.0,17,2.437682
21.0,21,2.442912
23.0,23,2.459601
38.0,38,2.463977
63.0,63,2.472666
29.0,29,2.480955
59.0,59,2.481028
23.0,23,2.489792
45.0,45,2.497233
29.0,29,2.502622
18.0,18,2.503434
23.0,23,2.514662
20.0,20,2.517684
52.0,52,2.519947
16.0,16,2.526575
43.0,43,2.535199
26.0,26,2.538861
37.0,37,2.544624
15.0,15,2.546144
30.0,30,2.548391
15.0,15,2.54999
14.0,14,2.55521
25.0,25,2.565176
20.0,20,2.570351
26.0,26,2.584638
50.0,50,2.586078
52.0,52,2.589062
11.0,11,2.592916
14.0,14,2.599669
43.0,43,2.602661
24.0,24,2.604209
21.0,21,2.608866
15.0,15,2.611113
16.0,16,2.622738
34.0,34,2.629592
40.0,40,2.633286
43.0,43,2.641713
18.0,18,2.64395
36.0,36,2.650609
12.0,12,2.65067
17.0,17,2.656708
18.0,18,2.66391
29.0,29,2.672201
68.0,68,2.684096
47.0,47,2.692179
40.0,40,2.695105
36.0,36,2.700712
15.0,15,2.704665
17.0,17,2.7086
12.0,12,2.710285
34.0,34,2.711832
13.0,13,2.719894
16.0,16,2.720738
21.0,21,2.720789
16.0,16,2.7239
17.0,17,2.732575
17.0,17,2.733483
20.0,20,2.738686
18.0,18,2.746371
32.0,32,3.100058
60.0,60,3.108156
37.0,37,3.108992
16.0,16,3.112069
45.0,45,3.12221
23.0,23,3.125993
28.0,28,3.132623
28.0,28,3.142912
51.0,51,3.145899
34.0,34,3.151108
35.0,35,3.158508
27.0,27,3.162897
20.0,20,3.165885
12.0,12,3.167474
37.0,37,3.173421
19.0,19,3.180015
32.0,32,3.186566
20.0,20,3.188125
13.0,13,3.189702
40.0,40,3.197398
20.0,20,3.202103
37.0,37,3.217318
30.0,30,3.219781
44.0,44,3.221321
22.0,22,3.235905
55.0,55,3.242593
17.0,17,3.248482
52.0,52,3.255763
13.0,13,3.258039
28.0,28,3.26312
17.0,17,3.275315
29.0,29,3.276926
84.0,84,3.282711
15.0,15,3.287542
15.0,15,3.293335
60.0,60,3.301192
16.0,16,3.305007
13.0,13,3.310965
34.0,34,3.31255
57.0,57,3.317047
9.0,9,3.317827
13.0,13,3.327464
24.0,24,3.330546
23.0,23,3.334207
41.0,41,3.335859
14.0,14,3.341302
19.0,19,3.348718
19.0,19,3.350184
38.0,38,3.356342
27.0,27,3.361636
31.0,31,3.373345
20.0,20,3.388276
47.0,47,3.39126
63.0,63,3.39596
53.0,53,3.401054
18.0,18,3.409451
17.0,17,3.413768
41.0,41,3.418834
15.0,15,3.425029
22.0,22,3.425859
52.0,52,3.429981
28.0,28,3.439104
23.0,23,3.441763
36.0,36,3.805664
43.0,43,3.808044
88.0,88,3.832893
45.0,45,3.842979
111.0,111,3.845358
21.0,21,3.849102
36.0,36,3.875376
95.0,95,3.877691
58.0,58,3.887916
31.0,31,3.898142
13.0,13,3.908112
89.0,89,3.908971
29.0,29,3.909813
19.0,19,3.923548
25.0,25,3.926541
69.0,69,3.928948
38.0,38,3.936859
22.0,22,3.944742
28.0,28,3.946993
15.0,15,3.947822
17.0,17,3.960191
35.0,35,3.972381
38.0,38,3.972453
25.0,25,3.978234
18.0,18,3.985554
101.0,101,3.997657
37.0,37,4.013578
48.0,48,4.03309
80.0,80,4.037482
94.0,94,4.041765
14.0,14,4.047542
10.0,10,4.049432
28.0,28,4.055279
14.0,14,4.063572
39.0,39,4.080642
37.0,37,4.085067
31.0,31,4.086739
19.0,19,4.09983
27.0,27,4.101706
16.0,16,4.112093
139.0,139,4.121382
26.0,26,4.121441
13.0,13,4.131564
64.0,64,4.136081
13.0,13,4.141336
48.0,48,4.148839
23.0,23,4.153379
18.0,18,4.167232
90.0,90,4.533504
70.0,70,4.537948
8.0,8,4.543988
89.0,89,4.559586
39.0,39,4.562597
35.0,35,4.570815
79.0,79,4.570885
32.0,32,4.587904
36.0,36,4.598377
33.0,33,4.622634
83.0,83,4.622704
50.0,50,4.624976
30.0,30,4.644703
108.0,108,4.651546
19.0,19,4.658919
67.0,67,4.672362
13.0,13,4.681899
42.0,42,4.682735
10.0,10,4.68926
47.0,47,4.693705
97.0,97,4.696796
19.0,19,4.708123
45.0,45,4.716453
38.0,38,4.717977
18.0,18,4.721757
21.0,21,4.737858
35.0,35,4.744559
90.0,90,4.765221
44.0,44,4.771161
91.0,91,4.785173
30.0,30,4.787433
61.0,61,4.790228
31.0,31,4.806692
41.0,41,4.816286
22.0,22,4.832933
48.0,48,4.842636
86.0,86,4.853498
115.0,115,4.855713
35.0,35,4.869171
51.0,51,4.87145
36.0,36,4.880512
20.0,20,4.886475
42.0,42,4.887281
23.0,23,5.243267
16.0,16,5.255032
50.0,50,5.256642
18.0,18,5.26977
89.0,89,5.274342
16.0,16,5.286022
55.0,55,5.295484
99.0,99,5.298555
24.0,24,5.313137
51.0,51,5.323348
18.0,18,5.326374
94.0,94,5.339074
27.0,27,5.346545
71.0,71,5.350955
17.0,17,5.35899
13.0,13,5.36855
32.0,32,5.374377
64.0,64,5.386068
15.0,15,5.396942
43.0,43,5.399861
112.0,112,5.405596
30.0,30,5.421278
43.0,43,5.427642
90.0,90,5.439502
54.0,54,5.461352
80.0,80,5.464355
54.0,54,5.467945
43.0,43,5.471608
36.0,36,5.494132
36.0,36,5.497948
57.0,57,5.506254
27.0,27,5.514676
79.0,79,5.519943
32.0,32,5.52222
30.0,30,5.544482
69.0,69,5.557794
65.0,65,5.562613
53.0,53,5.58227
59.0,59,5.599683
110.0,110,5.599742
79.0,79,5.961233
76.0,76,5.998528
111.0,111,6.006609
17.0,17,6.011015
90.0,90,6.028432
136.0,136,6.04214
50.0,50,6.042947
51.0,51,6.048369
28.0,28,6.04921
33.0,33,6.066792
33.0,33,6.067625
27.0,27,6.069163
16.0,16,6.080851
20.0,20,6.082389
59.0,59,6.109694
111.0,111,6.129315
41.0,41,6.159192
115.0,115,6.164294
125.0,125,6.173356
109.0,109,6.189369
23.0,23,6.190168
13.0,13,6.199458
77.0,77,6.216357
42.0,42,6.221597
79.0,79,6.223192
12.0,12,6.232182
35.0,35,6.247969
32.0,32,6.256167
