# {"t_start": 1558275129.593705} 
r,l,t
16.0,16,0.028747
19.0,19,0.030597
21.0,21,0.032198
8.0,8,0.033941
30.0,30,0.03761
13.0,13,0.039935
15.0,15,0.042701
16.0,16,0.048688
8.0,8,0.05337
20.0,20,0.053983
31.0,31,0.055177
42.0,42,0.055221
7.0,7,0.059038
9.0,9,0.060149
16.0,16,0.062816
24.0,24,0.066777
9.0,9,0.068095
18.0,18,0.069352
15.0,15,0.075305
12.0,12,0.075905
31.0,31,0.07759
13.0,13,0.082421
9.0,9,0.082469
17.0,17,0.085272
8.0,8,0.090127
14.0,14,0.090725
20.0,20,0.094223
10.0,10,0.096485
14.0,14,0.098229
9.0,9,0.103241
19.0,19,0.104929
11.0,11,0.109337
79.0,79,0.112812
9.0,9,0.114515
22.0,22,0.117615
10.0,10,0.119284
45.0,45,0.124232
16.0,16,0.130142
15.0,15,0.131511
29.0,29,0.139659
9.0,9,0.147615
24.0,24,0.153331
11.0,11,0.156549
29.0,29,0.158046
11.0,11,0.163074
15.0,15,0.166471
8.0,8,0.167609
24.0,24,0.168252
11.0,11,0.17435
13.0,13,0.174964
17.0,17,0.176096
70.0,70,0.176137
13.0,13,0.184292
17.0,17,0.185398
14.0,14,0.185477
11.0,11,0.19468
14.0,14,0.196983
10.0,10,0.204341
26.0,26,0.20512
42.0,42,0.205909
17.0,17,0.207381
13.0,13,0.218491
19.0,19,0.224375
19.0,19,0.228422
23.0,23,0.229156
7.0,7,0.23037
16.0,16,0.237505
26.0,26,0.238673
15.0,15,0.245926
14.0,14,0.246536
32.0,32,0.247154
36.0,36,0.250406
21.0,21,0.258135
24.0,24,0.259329
16.0,16,0.259375
30.0,30,0.263706
10.0,10,0.264837
18.0,18,0.268538
17.0,17,0.269149
28.0,28,0.279436
30.0,30,0.281635
7.0,7,0.283328
29.0,29,0.285098
13.0,13,0.289083
12.0,12,0.290258
41.0,41,0.291393
12.0,12,0.291977
9.0,9,0.296789
11.0,11,0.297385
15.0,15,0.298496
18.0,18,0.299087
8.0,8,0.3037
13.0,13,0.304842
22.0,22,0.309328
20.0,20,0.309938
18.0,18,0.31369
12.0,12,0.316374
23.0,23,0.317502
15.0,15,0.317544
10.0,10,0.319444
13.0,13,0.323867
16.0,16,0.326675
20.0,20,0.328881
11.0,11,0.329993
9.0,9,0.331647
23.0,23,0.332241
11.0,11,0.335011
22.0,22,1.817507
17.0,17,1.818289
26.0,26,1.818344
27.0,27,1.821582
12.0,12,1.825385
21.0,21,1.831645
23.0,23,1.839754
17.0,17,1.842475
39.0,39,1.8432
19.0,19,1.851961
15.0,15,1.852022
55.0,55,1.856333
11.0,11,1.858811
26.0,26,1.867967
42.0,42,1.869335
18.0,18,1.870032
27.0,27,1.873317
13.0,13,1.877673
34.0,34,1.898612
50.0,50,1.899291
62.0,62,1.908609
17.0,17,1.909903
60.0,60,1.910594
9.0,9,1.916255
12.0,12,1.91631
16.0,16,1.920102
10.0,10,1.92267
14.0,14,1.931362
18.0,18,1.931424
60.0,60,1.936404
9.0,9,1.937084
45.0,45,1.944483
15.0,15,1.945786
30.0,30,1.950115
27.0,27,1.953927
15.0,15,1.955237
22.0,22,1.958493
16.0,16,1.963932
22.0,22,1.963983
18.0,18,1.966243
17.0,17,1.968614
13.0,13,1.971591
15.0,15,1.977276
25.0,25,1.978466
26.0,26,1.981298
20.0,20,1.983005
16.0,16,1.986498
9.0,9,1.988239
14.0,14,1.989408
22.0,22,1.991434
12.0,12,1.993889
11.0,11,1.995353
12.0,12,1.998812
15.0,15,1.998864
14.0,14,2.003589
10.0,10,2.004984
7.0,7,2.008386
25.0,25,2.010055
9.0,9,2.014863
27.0,27,2.016912
18.0,18,2.017666
8.0,8,2.022639
20.0,20,2.023269
13.0,13,2.025093
9.0,9,2.028576
14.0,14,2.030863
11.0,11,2.031481
11.0,11,2.034953
15.0,15,2.039474
47.0,47,2.042829
19.0,19,2.045667
13.0,13,2.04694
31.0,31,2.049227
7.0,7,2.053366
16.0,16,2.055146
15.0,15,2.055794
28.0,28,2.059312
16.0,16,2.062808
13.0,13,2.06686
27.0,27,2.071519
11.0,11,2.073308
32.0,32,2.073974
23.0,23,2.076298
10.0,10,2.07916
16.0,16,2.083207
16.0,16,2.085603
25.0,25,2.086255
8.0,8,2.088378
18.0,18,2.090124
9.0,9,2.091318
10.0,10,2.092556
13.0,13,2.1
18.0,18,2.101831
25.0,25,2.103075
13.0,13,2.107728
17.0,17,2.113064
40.0,40,2.115189
19.0,19,2.115856
13.0,13,2.379763
14.0,14,2.387861
29.0,29,2.395068
35.0,35,2.402937
42.0,42,2.405659
30.0,30,2.407655
11.0,11,2.412938
32.0,32,2.416259
9.0,9,2.42228
29.0,29,2.422344
29.0,29,2.426964
10.0,10,2.429009
13.0,13,2.431032
9.0,9,2.434964
26.0,26,2.444127
49.0,49,2.44551
27.0,27,2.44883
12.0,12,2.453503
17.0,17,2.464595
25.0,25,2.465341
44.0,44,2.473454
24.0,24,2.480837
15.0,15,2.483459
29.0,29,2.484836
7.0,7,2.488382
11.0,11,2.48848
88.0,88,2.494181
10.0,10,2.495824
10.0,10,2.502433
15.0,15,2.504387
11.0,11,2.509336
39.0,39,2.511259
8.0,8,2.514416
17.0,17,2.515107
10.0,10,2.517638
8.0,8,2.519624
50.0,50,2.521569
20.0,20,2.527592
16.0,16,2.53126
28.0,28,2.535035
26.0,26,2.535717
12.0,12,2.542437
27.0,27,2.544354
20.0,20,2.548062
11.0,11,2.554962
41.0,41,2.556878
30.0,30,2.561104
10.0,10,2.56115
33.0,33,2.564501
8.0,8,2.565679
15.0,15,2.56572
10.0,10,2.57146
12.0,12,2.572626
23.0,23,2.577697
13.0,13,2.578869
43.0,43,2.585851
9.0,9,2.591301
27.0,27,2.593615
30.0,30,2.596505
16.0,16,2.600992
51.0,51,2.602798
10.0,10,2.608461
26.0,26,2.609106
9.0,9,2.614405
17.0,17,2.618506
24.0,24,2.628149
56.0,56,2.629312
57.0,57,2.633845
14.0,14,2.636225
17.0,17,2.639063
39.0,39,2.640812
19.0,19,2.645009
15.0,15,2.647869
20.0,20,2.647914
14.0,14,2.649187
15.0,15,2.653811
15.0,15,2.65677
14.0,14,2.657393
18.0,18,2.658561
25.0,25,2.668235
19.0,19,2.669418
30.0,30,2.674767
20.0,20,2.680056
45.0,45,2.682922
27.0,27,2.685306
20.0,20,2.686524
11.0,11,2.686567
11.0,11,2.950107
16.0,16,2.95088
12.0,12,2.952303
18.0,18,2.95631
19.0,19,2.962897
19.0,19,2.964944
27.0,27,2.968843
16.0,16,2.975641
19.0,19,2.975707
30.0,30,2.97643
22.0,22,2.99079
37.0,37,3.000356
52.0,52,3.003856
51.0,51,3.009819
15.0,15,3.010567
35.0,35,3.014537
14.0,14,3.020009
20.0,20,3.023726
13.0,13,3.029414
23.0,23,3.030817
42.0,42,3.033071
20.0,20,3.037841
9.0,9,3.039249
22.0,22,3.0445
11.0,11,3.045252
23.0,23,3.05491
18.0,18,3.056932
40.0,40,3.058307
23.0,23,3.060992
13.0,13,3.063799
15.0,15,3.071369
21.0,21,3.071437
17.0,17,3.075284
31.0,31,3.079025
18.0,18,3.082704
12.0,12,3.086464
29.0,29,3.089953
14.0,14,3.091837
27.0,27,3.092536
16.0,16,3.096932
11.0,11,3.099448
20.0,20,3.104337
21.0,21,3.110016
39.0,39,3.114449
17.0,17,3.115129
40.0,40,3.124479
24.0,24,3.125176
23.0,23,3.128902
10.0,10,3.134552
37.0,37,3.137466
14.0,14,3.142767
35.0,35,3.145627
11.0,11,3.149235
28.0,28,3.153924
16.0,16,3.155136
10.0,10,3.155183
15.0,15,3.162536
66.0,66,3.163142
17.0,17,3.164931
16.0,16,3.172433
15.0,15,3.17362
35.0,35,3.175381
22.0,22,3.175427
15.0,15,3.182126
14.0,14,3.183305
20.0,20,3.186837
16.0,16,3.195786
32.0,32,3.201492
58.0,58,3.205495
49.0,49,3.210025
27.0,27,3.211204
12.0,12,3.212372
20.0,20,3.212988
13.0,13,3.217506
15.0,15,3.220109
15.0,15,3.221876
15.0,15,3.226444
11.0,11,3.228188
28.0,28,3.236157
19.0,19,3.237334
8.0,8,3.240758
7.0,7,3.241369
57.0,57,3.245322
38.0,38,3.249985
17.0,17,3.255214
14.0,14,3.258088
33.0,33,3.26038
39.0,39,3.520784
20.0,20,3.5248
13.0,13,3.526165
14.0,14,3.53017
23.0,23,3.530226
17.0,17,3.536146
15.0,15,3.540179
10.0,10,3.542877
28.0,28,3.544867
19.0,19,3.552749
19.0,19,3.557408
14.0,14,3.56208
30.0,30,3.562812
10.0,10,3.564178
56.0,56,3.567501
9.0,9,3.568893
10.0,10,3.570977
15.0,15,3.572395
23.0,23,3.58292
19.0,19,3.59587
11.0,11,3.603166
11.0,11,3.610445
63.0,63,3.613236
78.0,78,3.624858
87.0,87,3.627532
11.0,11,3.632322
29.0,29,3.63307
34.0,34,3.633778
9.0,9,3.633824
8.0,8,3.639152
14.0,14,3.64174
17.0,17,3.644312
11.0,11,3.648611
18.0,18,3.650547
27.0,27,3.651242
23.0,23,3.658681
11.0,11,3.665426
32.0,32,3.668604
52.0,52,3.687931
31.0,31,3.690867
31.0,31,3.696933
59.0,59,3.697001
10.0,10,3.701388
13.0,13,3.707292
13.0,13,3.707354
12.0,12,3.709642
8.0,8,3.711948
30.0,30,3.712582
13.0,13,3.717115
23.0,23,3.726499
22.0,22,3.732747
15.0,15,3.741338
27.0,27,3.743642
60.0,60,3.74482
11.0,11,3.7477
13.0,13,3.752356
15.0,15,3.756303
26.0,26,3.758611
12.0,12,3.759234
77.0,77,3.759862
20.0,20,3.767824
16.0,16,3.768516
10.0,10,3.774293
34.0,34,3.778266
20.0,20,3.779448
40.0,40,3.783005
11.0,11,3.784799
16.0,16,3.788965
29.0,29,3.791257
15.0,15,3.793603
30.0,30,3.800414
40.0,40,3.811683
33.0,33,3.812319
43.0,43,3.815758
10.0,10,3.818067
15.0,15,3.820547
38.0,38,3.822418
12.0,12,3.823042
10.0,10,3.828653
21.0,21,3.830392
17.0,17,3.830439
17.0,17,3.832166
14.0,14,3.838481
10.0,10,4.108447
26.0,26,4.112023
30.0,30,4.112753
37.0,37,4.115434
18.0,18,4.120786
13.0,13,4.121548
23.0,23,4.130685
29.0,29,4.131421
21.0,21,4.135438
14.0,14,4.140034
18.0,18,4.147238
20.0,20,4.153209
53.0,53,4.1559
27.0,27,4.165106
51.0,51,4.189335
43.0,43,4.193674
62.0,62,4.194578
16.0,16,4.200662
19.0,19,4.208371
19.0,19,4.214399
125.0,125,4.215804
34.0,34,4.217845
6.0,6,4.222076
13.0,13,4.224789
10.0,10,4.231146
16.0,16,4.241178
52.0,52,4.2425
37.0,37,4.245628
13.0,13,4.249387
59.0,59,4.252497
15.0,15,4.25858
38.0,38,4.268145
10.0,10,4.275468
26.0,26,4.282566
11.0,11,4.289934
48.0,48,4.290851
14.0,14,4.300706
16.0,16,4.301339
76.0,76,4.3026
18.0,18,4.311929
19.0,19,4.313688
9.0,9,4.31885
64.0,64,4.320607
20.0,20,4.323521
42.0,42,4.325278
12.0,12,4.32632
20.0,20,4.337529
18.0,18,4.338445
28.0,28,4.345687
14.0,14,4.346899
41.0,41,4.34811
12.0,12,4.352745
15.0,15,4.355622
16.0,16,4.357365
32.0,32,4.35801
18.0,18,4.363163
18.0,18,4.36776
19.0,19,4.369359
12.0,12,4.371105
32.0,32,4.375339
10.0,10,4.377106
6.0,6,4.380541
11.0,11,4.381733
14.0,14,4.389671
18.0,18,4.390877
36.0,36,4.390923
9.0,9,4.395969
50.0,50,4.397731
17.0,17,4.399476
17.0,17,4.405706
18.0,18,4.409814
37.0,37,4.412167
25.0,25,4.412216
23.0,23,4.419249
14.0,14,4.420927
12.0,12,4.428726
26.0,26,4.428785
31.0,31,4.429397
21.0,21,4.432825
16.0,16,4.699146
10.0,10,4.699883
24.0,24,4.70519
14.0,14,4.708549
19.0,19,4.712552
21.0,21,4.719198
20.0,20,4.722347
13.0,13,4.730314
63.0,63,4.73303
24.0,24,4.74053
16.0,16,4.741286
44.0,44,4.744675
30.0,30,4.75361
31.0,31,4.76221
14.0,14,4.762955
47.0,47,4.772236
11.0,11,4.779484
57.0,57,4.782819
34.0,34,4.78486
14.0,14,4.792172
22.0,22,4.79963
63.0,63,4.804956
43.0,43,4.808292
40.0,40,4.818702
20.0,20,4.82137
35.0,35,4.827552
21.0,21,4.831864
17.0,17,4.838156
61.0,61,4.838842
28.0,28,4.84948
18.0,18,4.850187
46.0,46,4.850236
20.0,20,4.850958
16.0,16,4.859837
21.0,21,4.863622
23.0,23,4.86491
11.0,11,4.866949
38.0,38,4.874884
17.0,17,4.875507
26.0,26,4.879491
24.0,24,4.881298
