AverageEpisodeLength,AveragePolicyProb[0],AveragePolicyProb[1],AverageReturn,Entropy,ExplainedVariance,Iteration,MaxEpisodeLength,MaxReturn,MeanKL,MinEpisodeLength,MinReturn,Perplexity,StdEpisodeLength,StdReturn,TotalNEpisodes,TotalNSamples,ValueLoss
17.95,0.49950912594795227,0.5004909038543701,17.95,0.6931459903717041,-4.881547563750921e-05,1,52,52.0,0.000860064581502229,7,7.0,1.9999991655349731,8.488079877098237,8.488079877098237,110,2000,158.28846740722656
19.29,0.49301794171333313,0.5069818496704102,19.29,0.6922079920768738,0.002949270125462644,2,64,64.0,0.0012475198600441217,8,8.0,1.9981247186660767,9.834932638305155,9.834932638305155,215,4000,154.35523986816406
20.67,0.4887621998786926,0.5112378001213074,20.67,0.6898791790008545,0.0033610677741756634,3,65,65.0,0.000837720581330359,8,8.0,1.9934866428375244,11.026381999549988,11.026381999549988,309,6000,175.27517700195312
24.14,0.49243348836898804,0.5075664520263672,24.14,0.686486005783081,0.00857744156095197,4,83,83.0,0.001105945324525237,7,7.0,1.9867717027664185,13.974991949908237,13.974991949908237,391,8000,179.0965576171875
24.86,0.49013981223106384,0.5098601579666138,24.86,0.6822692155838013,0.020911429799983172,5,69,69.0,0.0010753602255135775,8,8.0,1.9784908294677734,13.60222040697768,13.60222040697768,468,10000,116.22784423828125
27.2,0.5091592669487,0.49084076285362244,27.2,0.6745421290397644,0.026880300585646277,6,94,94.0,0.0008745795348659158,7,7.0,1.9634896516799927,17.695762204550558,17.695762204550558,541,12000,164.94561767578125
26.4,0.4871985614299774,0.512801468372345,26.4,0.6663309931755066,0.08431089711222328,7,83,83.0,0.0010116866324096918,8,8.0,1.947835087776184,15.303594349041012,15.303594349041012,610,14000,115.59050750732422
31.26,0.4870859384536743,0.5129141211509705,31.26,0.6521151065826416,0.06452795229959407,8,122,122.0,0.0010635985527187586,8,8.0,1.9212734699249268,20.014304884257157,20.014304884257157,672,16000,229.65048217773438
33.47,0.48128271102905273,0.5187171101570129,33.47,0.6457728147506714,0.09656837794781903,9,110,110.0,0.0009894855320453644,7,7.0,1.9100136756896973,22.221815857395633,22.221815857395633,728,18000,218.7872772216797
34.57,0.4631201922893524,0.5368795394897461,34.57,0.6325209140777588,0.08836364139962949,10,112,112.0,0.0009219505591318011,7,7.0,1.886025309562683,24.446371918957627,24.446371918957627,788,20000,188.07662963867188
37.73,0.4996526539325714,0.500347375869751,37.73,0.6296021342277527,0.12424524734942999,11,112,112.0,0.001017836737446487,8,8.0,1.8807276487350464,23.910606433129214,23.910606433129214,833,22000,225.1728973388672
43.46,0.47605180740356445,0.5239479541778564,43.46,0.613059401512146,0.06000831158579578,12,136,136.0,0.0009763504494912922,9,9.0,1.8529552221298218,27.3618054959829,27.3618054959829,876,24000,304.2684326171875
45.26,0.5079570412635803,0.4920429587364197,45.26,0.6047318577766418,0.07511700927825915,13,150,150.0,0.0009029062930494547,7,7.0,1.8376110792160034,30.284193897147077,30.284193897147077,919,26000,316.4080810546875
46.57,0.5306555032730103,0.46934452652931213,46.57,0.5945349335670471,0.17228773621061877,14,150,150.0,0.0009733005426824093,7,7.0,1.8201206922531128,28.484822274327076,28.484822274327076,960,28000,219.14312744140625
