# {"t_start": 1558293096.271873} 
r,l,t
6.0,6,0.034808
12.0,12,0.038521
16.0,16,0.04133
18.0,18,0.042601
9.0,9,0.046904
7.0,7,0.046963
15.0,15,0.048307
25.0,25,0.050679
13.0,13,0.054762
21.0,21,0.063129
31.0,31,0.065645
7.0,7,0.069653
38.0,38,0.070796
21.0,21,0.075117
11.0,11,0.075729
9.0,9,0.075769
13.0,13,0.082165
13.0,13,0.082846
15.0,15,0.084137
55.0,55,0.086848
10.0,10,0.088513
8.0,8,0.091225
18.0,18,0.093413
26.0,26,0.098969
10.0,10,0.104638
20.0,20,0.104691
25.0,25,0.105276
8.0,8,0.109636
12.0,12,0.111274
45.0,45,0.113467
17.0,17,0.114162
16.0,16,0.120005
21.0,21,0.12113
17.0,17,0.123273
14.0,14,0.127514
13.0,13,0.128373
34.0,34,0.132792
9.0,9,0.133501
8.0,8,0.138178
12.0,12,0.141386
29.0,29,0.141444
22.0,22,0.14255
9.0,9,0.146428
10.0,10,0.147037
10.0,10,0.148174
19.0,19,0.149299
8.0,8,0.152658
12.0,12,0.153238
14.0,14,0.156952
18.0,18,0.162815
20.0,20,0.163409
36.0,36,0.166707
8.0,8,0.167317
15.0,15,0.17154
19.0,19,0.176942
12.0,12,0.178047
42.0,42,0.179725
12.0,12,0.183496
10.0,10,0.183543
9.0,9,0.184652
7.0,7,0.187352
11.0,11,0.189577
12.0,12,0.193864
12.0,12,0.20045
30.0,30,0.201055
22.0,22,0.201672
65.0,65,0.202807
10.0,10,0.208843
9.0,9,0.209442
10.0,10,0.215012
12.0,12,0.215637
29.0,29,0.218899
34.0,34,0.221166
11.0,11,0.221764
16.0,16,0.223932
7.0,7,0.225044
8.0,8,0.226172
11.0,11,0.23019
15.0,15,0.235109
18.0,18,0.235707
36.0,36,0.23945
9.0,9,0.240043
23.0,23,0.243235
11.0,11,0.245481
15.0,15,0.248212
26.0,26,0.257358
18.0,18,0.257962
23.0,23,0.258003
43.0,43,0.259148
12.0,12,0.264
13.0,13,0.26616
19.0,19,0.268477
8.0,8,0.27088
12.0,12,0.27093
11.0,11,0.27682
35.0,35,0.277417
13.0,13,0.277995
8.0,8,0.281931
14.0,14,0.284763
16.0,16,0.290711
19.0,19,0.294948
34.0,34,0.29658
16.0,16,0.299488
9.0,9,0.300082
17.0,17,0.308804
20.0,20,0.310966
28.0,28,0.31207
83.0,83,0.314238
9.0,9,1.124972
13.0,13,1.126311
13.0,13,1.133218
11.0,11,1.13328
10.0,10,1.141129
11.0,11,1.142016
31.0,31,1.143565
46.0,46,1.146753
16.0,16,1.151847
31.0,31,1.162271
30.0,30,1.16297
31.0,31,1.166624
10.0,10,1.168538
8.0,8,1.173441
38.0,38,1.175926
28.0,28,1.180201
23.0,23,1.180886
11.0,11,1.182798
17.0,17,1.184066
9.0,9,1.186577
12.0,12,1.187874
7.0,7,1.190995
16.0,16,1.192898
12.0,12,1.195523
22.0,22,1.198664
16.0,16,1.202116
14.0,14,1.202846
21.0,21,1.210115
19.0,19,1.211448
7.0,7,1.214601
21.0,21,1.21651
27.0,27,1.219702
9.0,9,1.220396
12.0,12,1.224303
8.0,8,1.224985
12.0,12,1.22805
12.0,12,1.232358
13.0,13,1.232411
40.0,40,1.237028
20.0,20,1.241264
19.0,19,1.245034
10.0,10,1.247632
22.0,22,1.251434
33.0,33,1.253982
11.0,11,1.254665
17.0,17,1.262123
31.0,31,1.264669
20.0,20,1.267118
9.0,9,1.267805
13.0,13,1.272865
11.0,11,1.274197
10.0,10,1.274244
7.0,7,1.278517
18.0,18,1.284022
22.0,22,1.287724
15.0,15,1.293132
15.0,15,1.296303
72.0,72,1.29797
12.0,12,1.304515
49.0,49,1.306867
28.0,28,1.312031
10.0,10,1.312673
16.0,16,1.313898
38.0,38,1.314513
8.0,8,1.31676
9.0,9,1.31945
12.0,12,1.32372
17.0,17,1.32931
11.0,11,1.329914
31.0,31,1.330509
36.0,36,1.334387
11.0,11,1.337739
17.0,17,1.340714
17.0,17,1.341444
8.0,8,1.343357
11.0,11,1.347249
22.0,22,1.349037
16.0,16,1.350747
19.0,19,1.357975
13.0,13,1.358029
7.0,7,1.361994
12.0,12,1.364842
34.0,34,1.368232
48.0,48,1.370537
16.0,16,1.373958
11.0,11,1.376794
8.0,8,1.378538
7.0,7,1.380859
28.0,28,1.384295
14.0,14,1.386582
47.0,47,1.388875
18.0,18,1.391214
13.0,13,1.391834
11.0,11,1.392997
11.0,11,1.397537
15.0,15,1.397585
9.0,9,1.398196
9.0,9,1.402757
23.0,23,1.405145
20.0,20,1.409898
20.0,20,1.410499
10.0,10,1.41184
23.0,23,1.417557
12.0,12,1.417616
13.0,13,1.41993
10.0,10,1.423415
11.0,11,1.424279
26.0,26,1.426605
8.0,8,1.428909
15.0,15,1.428955
9.0,9,1.431794
11.0,11,1.695383
12.0,12,1.696146
13.0,13,1.700149
13.0,13,1.704161
33.0,33,1.704217
15.0,15,1.706231
9.0,9,1.706282
10.0,10,1.710894
12.0,12,1.712313
12.0,12,1.714314
9.0,9,1.716996
8.0,8,1.719664
20.0,20,1.719716
8.0,8,1.724964
15.0,15,1.729656
13.0,13,1.733618
7.0,7,1.734341
37.0,37,1.736954
30.0,30,1.737001
7.0,7,1.738974
12.0,12,1.744845
14.0,14,1.746632
16.0,16,1.750362
9.0,9,1.751988
30.0,30,1.754646
15.0,15,1.757297
11.0,11,1.758011
8.0,8,1.763259
12.0,12,1.765308
20.0,20,1.765358
19.0,19,1.767398
8.0,8,1.770729
15.0,15,1.775322
14.0,14,1.779894
24.0,24,1.783205
12.0,12,1.783257
32.0,32,1.784613
12.0,12,1.78788
6.0,6,1.788592
9.0,9,1.789301
19.0,19,1.796021
11.0,11,1.796755
15.0,15,1.798788
16.0,16,1.79884
10.0,10,1.80315
7.0,7,1.803867
14.0,14,1.812587
16.0,16,1.814647
25.0,25,1.81628
9.0,9,1.82135
19.0,19,1.825931
11.0,11,1.828757
46.0,46,1.828818
26.0,26,1.83401
13.0,13,1.834711
10.0,10,1.835369
15.0,15,1.838477
10.0,10,1.840358
11.0,11,1.841643
16.0,16,1.84528
16.0,16,1.848363
14.0,14,1.84903
19.0,19,1.853409
9.0,9,1.85408
12.0,12,1.856587
11.0,11,1.860304
11.0,11,1.860963
39.0,39,1.869553
20.0,20,1.873257
27.0,27,1.873301
21.0,21,1.873324
14.0,14,1.877772
