AverageEpisodeLength,AveragePolicyProb[0],AveragePolicyProb[1],AverageReturn,Entropy,ExplainedVariance,Iteration,MaxEpisodeLength,MaxReturn,MeanKL,MinEpisodeLength,MinReturn,Perplexity,StdEpisodeLength,StdReturn,TotalNEpisodes,TotalNSamples,ValueLoss
15.29,0.49961453676223755,0.5003854632377625,15.29,0.6931459903717041,7.91838157641056e-05,1,40,40.0,0.0007398580200970173,6,6.0,1.9999991655349731,7.633210333797961,7.633210333797961,129,2000,126.35982513427734
15.6,0.48618561029434204,0.513814389705658,15.6,0.6924035549163818,-0.0023708932853889753,2,66,66.0,0.0013368785148486495,7,7.0,1.9985140562057495,9.838699100999074,9.838699100999074,253,4000,166.3203125
17.38,0.4688897430896759,0.5311101675033569,17.38,0.6890625953674316,-0.004415639615542144,3,67,67.0,0.0011060739634558558,7,7.0,1.9918688535690308,10.477385169974426,10.477385169974426,368,6000,125.91062927246094
20.49,0.4790083169937134,0.520991325378418,20.49,0.685779869556427,0.008087293982878108,4,72,72.0,0.0012009250931441784,6,6.0,1.9854109287261963,11.904196738965632,11.904196738965632,462,8000,126.44776916503906
21.66,0.47945886850357056,0.5205410122871399,21.66,0.6804667711257935,0.027171026195388026,5,85,85.0,0.0010221274569630623,6,6.0,1.9750009775161743,14.116104278447363,14.116104278447363,556,10000,125.9393081665039
20.42,0.4798243045806885,0.5201756358146667,20.42,0.6750364899635315,0.10931110162147806,6,61,61.0,0.000945741543546319,6,6.0,1.9644440412521362,12.214073849457437,12.214073849457437,654,12000,75.46037292480469
24.06,0.4829177260398865,0.517082154750824,24.06,0.6673470139503479,0.10416976622709684,7,103,103.0,0.0008890174794942141,6,6.0,1.949817180633545,16.182595589088912,16.182595589088912,735,14000,146.45196533203125
23.78,0.4804559051990509,0.5195439457893372,23.78,0.6560850143432617,0.12779470085934364,8,80,80.0,0.0008447429863736033,7,7.0,1.928575038909912,14.94629050968835,14.94629050968835,821,16000,102.96975708007812
22.81,0.4691639840602875,0.5308359265327454,22.81,0.6468673944473267,0.15114918116093246,9,99,99.0,0.0010668731993064284,7,7.0,1.911500334739685,17.030968850890428,17.030968850890428,907,18000,134.93299865722656
24.1,0.48987284302711487,0.5101273655891418,24.1,0.6350241899490356,0.16427393062995277,10,88,88.0,0.0008028058800846338,7,7.0,1.8898214101791382,16.140941732129512,16.140941732129512,987,20000,111.67486572265625
30.65,0.49663975834846497,0.5033601522445679,30.65,0.6288705468177795,0.10186716672527663,11,117,117.0,0.0010214184876531363,7,7.0,1.8785879611968994,19.22101714270085,19.22101714270085,1047,22000,182.82533264160156
30.68,0.4963698387145996,0.5036301612854004,30.68,0.6133779883384705,0.16038965444820408,12,117,117.0,0.0009332800982519984,6,6.0,1.851442813873291,21.231523732412615,21.231523732412615,1117,24000,142.91690063476562
28.48,0.4814903736114502,0.5185096263885498,28.48,0.596630334854126,0.15062424580303369,13,93,93.0,0.0008606611518189311,6,6.0,1.822339653968811,17.574117332031214,17.574117332031214,1190,26000,127.05789184570312
34.2,0.5212579369544983,0.4787420332431793,34.2,0.5945260524749756,0.10352120020369882,14,116,116.0,0.0009189812699332833,10,10.0,1.8196932077407837,23.20818821019857,23.20818821019857,1242,28000,273.157958984375
32.99,0.5091784596443176,0.4908215403556824,32.99,0.5773910284042358,0.12389455588642773,15,117,117.0,0.0008974362281151116,7,7.0,1.79084312915802,23.73583577631089,23.73583577631089,1308,30000,211.34254455566406
36.68,0.5033851861953735,0.49661481380462646,36.68,0.5738270878791809,0.13821873008361651,16,117,117.0,0.0008802636875770986,8,8.0,1.7856032848358154,25.806541806293996,25.806541806293996,1357,32000,258.6632080078125
36.78,0.5027369856834412,0.4972629249095917,36.78,0.5396981835365295,0.11667205157860205,17,117,117.0,0.0008174903341569006,8,8.0,1.7299201488494873,26.22082378568606,26.22082378568606,1414,34000,245.76046752929688
38.49,0.5293851494789124,0.4706149697303772,38.49,0.5475318431854248,0.1293332882710292,18,155,155.0,0.0008121429127641022,8,8.0,1.7435473203659058,30.39720217388436,30.39720217388436,1461,36000,321.15869140625
43.53,0.5003556609153748,0.49964436888694763,43.53,0.5250930190086365,0.08698838498306072,19,170,170.0,0.0008797457558102906,8,8.0,1.7079029083251953,35.51068993979137,35.51068993979137,1508,38000,362.6583251953125
43.49,0.5351677536964417,0.4648323655128479,43.49,0.525202214717865,0.11335955884403803,20,170,170.0,0.0008894972852431238,8,8.0,1.709167242050171,34.493331239530924,34.493331239530924,1548,40000,326.9774169921875
50.39,0.5111861824989319,0.4888140857219696,50.39,0.5052292943000793,0.1495578409987698,21,170,170.0,0.0009654455352574587,9,9.0,1.6781717538833618,35.23688266575237,35.23688266575237,1580,42000,220.87155151367188
53.61,0.5006473064422607,0.4993526339530945,53.61,0.494078129529953,0.12289869238956741,22,147,147.0,0.0009886377956718206,10,10.0,1.6606967449188232,33.15777284438748,33.15777284438748,1616,44000,334.377197265625
57.88,0.49703264236450195,0.5029671788215637,57.88,0.48448044061660767,0.15386646873689092,23,147,147.0,0.0009481032029725611,10,10.0,1.6461777687072754,34.97778723704517,34.97778723704517,1650,46000,354.2961730957031
56.56,0.5179444551467896,0.4820552170276642,56.56,0.4747353792190552,0.16164716633045528,24,155,155.0,0.0009239720529876649,9,9.0,1.6339190006256104,38.80781364622336,38.80781364622336,1684,48000,338.405029296875
56.19,0.5072249174118042,0.49277493357658386,56.19,0.44657933712005615,0.15046265160001837,25,166,166.0,0.0008676953730173409,7,7.0,1.5903452634811401,39.75945044891843,39.75945044891843,1722,50000,286.0
59.22,0.5014969110488892,0.4985029101371765,59.22,0.45496129989624023,0.0939085101059477,26,217,217.0,0.0009502980392426252,7,7.0,1.6038594245910645,40.6941224257263,40.6941224257263,1754,52000,423.99658203125
61.35,0.5366294384002686,0.4633704423904419,61.35,0.43345317244529724,0.15864406537404196,27,217,217.0,0.0006799205439165235,7,7.0,1.5732159614562988,40.059050163477416,40.059050163477416,1785,54000,327.54888916015625
63.9,0.4958459734916687,0.5041539669036865,63.9,0.4331757724285126,0.18751528892056812,28,217,217.0,0.0008293746504932642,7,7.0,1.572739601135254,39.24372561314738,39.24372561314738,1811,56000,313.2441101074219
65.7,0.4941891133785248,0.5058109760284424,65.7,0.4043773412704468,0.18404459959224506,29,149,149.0,0.0008882994879968464,7,7.0,1.533125638961792,37.65992565048424,37.65992565048424,1845,58000,313.5424499511719
70.19,0.4982478618621826,0.5017523765563965,70.19,0.42916566133499146,0.166381193376701,30,212,212.0,0.0009153326973319054,9,9.0,1.5695881843566895,43.65906435094549,43.65906435094549,1869,60000,554.6381225585938
70.03,0.5152761340141296,0.4847241938114166,70.03,0.4124169945716858,0.08816126275911684,31,248,248.0,0.0008381163934245706,9,9.0,1.54742431640625,49.95206802525797,49.95206802525797,1896,62000,542.1033325195312
75.74,0.49186673760414124,0.5081334114074707,75.74,0.4052840769290924,0.2599815371180667,32,248,248.0,0.0009332885383628309,9,9.0,1.5357593297958374,54.37290133881031,54.37290133881031,1918,64000,387.2642517089844
80.23,0.5259395241737366,0.47406044602394104,80.23,0.38465145230293274,0.15925356509465283,33,248,248.0,0.0008427808643318713,9,9.0,1.5072152614593506,56.50961953508447,56.50961953508447,1946,66000,462.1746826171875
79.97,0.4786795973777771,0.521320641040802,79.97,0.40050363540649414,0.047215009797843877,34,248,248.0,0.0009099249728024006,9,9.0,1.5301846265792847,54.78183184231794,54.78183184231794,1967,68000,562.782470703125
86.46,0.430461049079895,0.5695390701293945,86.46,0.3834557831287384,0.18399992570319768,35,228,228.0,0.0009120340691879392,9,9.0,1.5053911209106445,55.58820378461604,55.58820378461604,1988,70000,442.1196594238281
93.85,0.4852372109889984,0.5147626996040344,93.85,0.3841652572154999,0.1888187794687256,36,256,256.0,0.000892468960955739,9,9.0,1.5066348314285278,57.891169447507274,57.891169447507274,2001,72000,665.893798828125
97.8,0.5133633017539978,0.48663681745529175,97.8,0.35259562730789185,0.33382993644080117,37,287,287.0,0.0010700285201892257,9,9.0,1.461401343345642,63.47030801878938,63.47030801878938,2019,74000,447.1033630371094
103.57,0.48790159821510315,0.5120983719825745,103.57,0.3704734146595001,0.21540485014994382,38,287,287.0,0.000999686773866415,9,9.0,1.4877443313598633,65.22074133279995,65.22074133279995,2040,76000,503.2428283691406
