# {"t_start": 1558274372.232026} 
r,l,t
11.0,11,0.023473
13.0,13,0.025313
16.0,16,0.027672
20.0,20,0.031215
18.0,18,0.040247
10.0,10,0.041189
21.0,21,0.043724
23.0,23,0.046859
13.0,13,0.049479
17.0,17,0.054086
13.0,13,0.054689
24.0,24,0.055286
18.0,18,0.059694
10.0,10,0.059742
18.0,18,0.064757
14.0,14,0.067699
26.0,26,0.069886
21.0,21,0.071548
20.0,20,0.075843
15.0,15,0.075891
9.0,9,0.076516
23.0,23,0.0886
36.0,36,0.089789
35.0,35,0.096209
12.0,12,0.096841
14.0,14,0.096882
9.0,9,0.101373
9.0,9,0.101977
59.0,59,0.109201
17.0,17,0.111375
11.0,11,0.11775
40.0,40,0.119398
34.0,34,0.12052
21.0,21,0.121097
10.0,10,0.126013
17.0,17,0.127145
19.0,19,0.129981
13.0,13,0.134029
36.0,36,0.141782
20.0,20,0.145143
30.0,30,0.147467
40.0,40,0.150246
15.0,15,0.150293
20.0,20,0.156244
11.0,11,0.156296
12.0,12,0.162988
12.0,12,0.163039
39.0,39,0.16907
37.0,37,0.170747
20.0,20,0.174045
10.0,10,0.174633
19.0,19,0.181197
14.0,14,0.181808
49.0,49,0.189864
31.0,31,0.191516
24.0,24,0.196407
32.0,32,0.200612
17.0,17,0.201237
19.0,19,0.204002
8.0,8,0.20514
23.0,23,0.209389
17.0,17,0.210515
15.0,15,0.212209
17.0,17,0.21452
16.0,16,0.218544
15.0,15,0.219166
19.0,19,0.225422
13.0,13,0.226018
14.0,14,0.227192
27.0,27,0.227855
8.0,8,0.230064
9.0,9,0.232616
16.0,16,0.239571
24.0,24,0.240197
16.0,16,0.241873
24.0,24,0.241917
10.0,10,0.247299
15.0,15,0.247957
23.0,23,0.253197
14.0,14,0.255991
17.0,17,0.257121
13.0,13,0.260365
13.0,13,0.264325
46.0,46,0.2677
25.0,25,0.274143
35.0,35,0.275288
15.0,15,0.275881
21.0,21,0.27592
17.0,17,0.284029
22.0,22,0.287815
13.0,13,0.291067
30.0,30,0.292735
9.0,9,0.297687
40.0,40,0.298301
22.0,22,0.299961
20.0,20,0.302145
19.0,19,0.308057
14.0,14,1.6083
22.0,22,1.609062
12.0,12,1.616132
13.0,13,1.617671
33.0,33,1.618482
20.0,20,1.620071
15.0,15,1.626335
18.0,18,1.630243
12.0,12,1.634005
26.0,26,1.634727
33.0,33,1.640854
13.0,13,1.642765
21.0,21,1.64343
20.0,20,1.646493
22.0,22,1.65697
31.0,31,1.660238
9.0,9,1.66279
26.0,26,1.662842
33.0,33,1.663506
12.0,12,1.667875
9.0,9,1.668553
10.0,10,1.670179
16.0,16,1.673471
11.0,11,1.675972
11.0,11,1.677296
12.0,12,1.681002
22.0,22,1.682491
14.0,14,1.685084
11.0,11,1.689378
23.0,23,1.691927
21.0,21,1.697971
19.0,19,1.703678
35.0,35,1.71128
14.0,14,1.712637
54.0,54,1.715175
35.0,35,1.720754
10.0,10,1.722123
21.0,21,1.726501
32.0,32,1.732127
14.0,14,1.735259
25.0,25,1.736549
8.0,8,1.740265
16.0,16,1.742179
32.0,32,1.74223
17.0,17,1.747148
22.0,22,1.753839
16.0,16,1.756906
25.0,25,1.757598
25.0,25,1.757645
12.0,12,1.765077
18.0,18,1.765132
14.0,14,1.766426
11.0,11,1.77203
14.0,14,1.775016
31.0,31,1.776214
19.0,19,1.776847
10.0,10,1.77803
13.0,13,1.783786
28.0,28,1.792941
33.0,33,1.794133
29.0,29,1.79484
17.0,17,1.80288
35.0,35,1.804083
17.0,17,1.804704
24.0,24,1.808373
15.0,15,1.813494
20.0,20,1.815791
13.0,13,1.81584
26.0,26,1.818238
12.0,12,1.821103
10.0,10,1.822448
15.0,15,1.827517
20.0,20,1.828198
10.0,10,1.833884
28.0,28,1.837284
14.0,14,1.841841
27.0,27,1.843109
22.0,22,1.850156
14.0,14,1.850212
49.0,49,1.850885
15.0,15,1.85209
12.0,12,1.857167
12.0,12,1.857217
16.0,16,1.860143
15.0,15,1.860763
12.0,12,1.867649
19.0,19,1.868241
16.0,16,1.869441
12.0,12,1.875145
37.0,37,1.878721
23.0,23,1.88104
22.0,22,1.882276
10.0,10,1.888096
19.0,19,1.889869
29.0,29,1.892263
22.0,22,1.894077
16.0,16,1.899199
14.0,14,1.900441
16.0,16,1.903506
33.0,33,1.907774
12.0,12,1.907827
10.0,10,1.909649
27.0,27,2.175333
19.0,19,2.181318
10.0,10,2.182058
34.0,34,2.189274
23.0,23,2.196378
47.0,47,2.197744
26.0,26,2.199129
18.0,18,2.201138
11.0,11,2.203813
19.0,19,2.210388
18.0,18,2.213065
27.0,27,2.217011
20.0,20,2.230516
29.0,29,2.23256
51.0,51,2.237861
58.0,58,2.248931
20.0,20,2.250941
36.0,36,2.256136
12.0,12,2.256854
13.0,13,2.259555
49.0,49,2.262893
12.0,12,2.264258
18.0,18,2.268836
12.0,12,2.270842
20.0,20,2.272855
16.0,16,2.275211
10.0,10,2.27828
16.0,16,2.280388
18.0,18,2.285654
12.0,12,2.286426
20.0,20,2.289248
21.0,21,2.299497
35.0,35,2.308722
34.0,34,2.320255
26.0,26,2.324536
86.0,86,2.334333
79.0,79,2.33806
31.0,31,2.3535
27.0,27,2.354671
50.0,50,2.355259
64.0,64,2.359239
26.0,26,2.368193
17.0,17,2.368827
25.0,25,2.369442
31.0,31,2.372573
16.0,16,2.379072
16.0,16,2.379697
19.0,19,2.380291
12.0,12,2.385984
25.0,25,2.394858
26.0,26,2.39491
46.0,46,2.399998
12.0,12,2.401721
33.0,33,2.405102
26.0,26,2.414659
36.0,36,2.415303
34.0,34,2.421052
22.0,22,2.427321
14.0,14,2.429094
60.0,60,2.439158
27.0,27,2.442628
25.0,25,2.443256
8.0,8,2.443877
52.0,52,2.44545
10.0,10,2.451153
8.0,8,2.455752
26.0,26,2.458085
25.0,25,2.458711
42.0,42,2.467942
19.0,19,2.46986
26.0,26,2.473747
15.0,15,2.479506
44.0,44,2.482566
22.0,22,2.746879
28.0,28,2.754131
55.0,55,2.756775
34.0,34,2.769126
68.0,68,2.771177
25.0,25,2.77321
15.0,15,2.781196
13.0,13,2.782173
43.0,43,2.783165
20.0,20,2.796374
45.0,45,2.800418
29.0,29,2.803058
32.0,32,2.803774
25.0,25,2.816743
38.0,38,2.82136
35.0,35,2.826579
38.0,38,2.827956
14.0,14,2.830822
24.0,24,2.832894
18.0,18,2.840371
19.0,19,2.845585
42.0,42,2.855313
30.0,30,2.860656
44.0,44,2.86072
44.0,44,2.874275
33.0,33,2.880984
45.0,45,2.883539
18.0,18,2.892037
60.0,60,2.897481
39.0,39,2.898159
33.0,33,2.903668
20.0,20,2.904332
34.0,34,2.918912
26.0,26,2.920134
38.0,38,2.920764
49.0,49,2.932477
24.0,24,2.934209
28.0,28,2.935944
9.0,9,2.937739
15.0,15,2.943016
50.0,50,2.947828
17.0,17,2.947886
26.0,26,2.951801
20.0,20,2.963512
46.0,46,2.97113
14.0,14,2.972485
47.0,47,2.976447
47.0,47,2.976498
17.0,17,2.981016
21.0,21,2.984619
15.0,15,2.985267
18.0,18,2.991581
23.0,23,2.99779
23.0,23,2.998422
63.0,63,3.012658
27.0,27,3.013297
29.0,29,3.01533
53.0,53,3.02354
26.0,26,3.030235
23.0,23,3.03097
11.0,11,3.031019
26.0,26,3.031045
38.0,38,3.305829
48.0,48,3.31243
66.0,66,3.324198
70.0,70,3.326257
25.0,25,3.328924
41.0,41,3.332853
16.0,16,3.334883
17.0,17,3.340055
13.0,13,3.34179
40.0,40,3.352916
18.0,18,3.353639
33.0,33,3.357218
12.0,12,3.36534
24.0,24,3.36996
45.0,45,3.370689
34.0,34,3.375997
26.0,26,3.387617
38.0,38,3.390349
37.0,37,3.400142
55.0,55,3.406334
19.0,19,3.413216
41.0,41,3.415251
41.0,41,3.418097
16.0,16,3.424028
16.0,16,3.42607
13.0,13,3.426779
32.0,32,3.428141
44.0,44,3.455344
58.0,58,3.462703
11.0,11,3.469478
71.0,71,3.470411
76.0,76,3.471804
31.0,31,3.474993
22.0,22,3.485275
35.0,35,3.491061
44.0,44,3.496745
10.0,10,3.496797
52.0,52,3.505385
25.0,25,3.511894
27.0,27,3.513097
23.0,23,3.519285
19.0,19,3.523888
23.0,23,3.525068
28.0,28,3.53526
20.0,20,3.536421
26.0,26,3.538728
99.0,99,3.543921
21.0,21,3.549643
14.0,14,3.551917
22.0,22,3.55252
35.0,35,3.55654
26.0,26,3.571017
38.0,38,3.574037
61.0,61,3.584157
19.0,19,3.584789
69.0,69,3.591075
46.0,46,3.597261
23.0,23,3.597312
25.0,25,3.599038
11.0,11,3.605498
21.0,21,3.610086
44.0,44,3.871662
36.0,36,3.873716
16.0,16,3.874469
20.0,20,3.886826
26.0,26,3.888872
53.0,53,3.894148
14.0,14,3.896181
37.0,37,3.898845
14.0,14,3.905382
25.0,25,3.905439
16.0,16,3.916395
39.0,39,3.920387
37.0,37,3.923729
38.0,38,3.930915
14.0,14,3.932948
37.0,37,3.940809
37.0,37,3.944833
22.0,22,3.947824
49.0,49,3.963499
52.0,52,3.979976
55.0,55,3.98515
41.0,41,3.991798
23.0,23,3.999756
29.0,29,4.009528
106.0,106,4.010849
59.0,59,4.017584
22.0,22,4.023098
45.0,45,4.027486
32.0,32,4.030643
20.0,20,4.040712
28.0,28,4.041537
42.0,42,4.045243
28.0,28,4.050506
16.0,16,4.056933
31.0,31,4.062088
54.0,54,4.083095
48.0,48,4.090109
73.0,73,4.099223
41.0,41,4.11329
123.0,123,4.115562
30.0,30,4.116163
65.0,65,4.12011
26.0,26,4.130889
46.0,46,4.141631
58.0,58,4.146129
46.0,46,4.157014
33.0,33,4.165008
20.0,20,4.168429
49.0,49,4.16986
19.0,19,4.179506
23.0,23,4.436903
38.0,38,4.441583
24.0,24,4.453749
17.0,17,4.45382
150.0,150,4.46422
58.0,58,4.472534
49.0,49,4.486599
41.0,41,4.492278
35.0,35,4.496318
72.0,72,4.502337
45.0,45,4.516793
22.0,22,4.51686
36.0,36,4.520179
19.0,19,4.532543
57.0,57,4.555063
35.0,35,4.556454
11.0,11,4.563268
108.0,108,4.563958
26.0,26,4.579442
41.0,41,4.580758
136.0,136,4.603753
49.0,49,4.610586
37.0,37,4.625549
32.0,32,4.628931
99.0,99,4.638294
25.0,25,4.644229
15.0,15,4.647753
37.0,37,4.647804
23.0,23,4.660757
31.0,31,4.661963
179.0,179,4.670512
42.0,42,4.671834
22.0,22,4.673592
9.0,9,4.676988
37.0,37,4.683203
28.0,28,4.689364
35.0,35,4.709111
65.0,65,4.713726
8.0,8,4.713772
77.0,77,4.71438
62.0,62,4.718386
22.0,22,4.726839
23.0,23,4.731607
44.0,44,4.739417
38.0,38,5.007444
33.0,33,5.009494
26.0,26,5.024458
48.0,48,5.027771
34.0,34,5.031749
125.0,125,5.049732
23.0,23,5.065075
62.0,62,5.065827
19.0,19,5.077546
80.0,80,5.08477
35.0,35,5.088713
20.0,20,5.090729
31.0,31,5.111099
54.0,54,5.12099
50.0,50,5.122275
16.0,16,5.122326
145.0,145,5.124465
33.0,33,5.14481
12.0,12,5.152131
54.0,54,5.159513
68.0,68,5.165006
26.0,26,5.168141
14.0,14,5.168195
18.0,18,5.176099
85.0,85,5.176769
22.0,22,5.181825
37.0,37,5.190355
15.0,15,5.19041
26.0,26,5.191608
26.0,26,5.205295
43.0,43,5.216662
17.0,17,5.22628
88.0,88,5.22804
53.0,53,5.235917
81.0,81,5.237144
23.0,23,5.239403
31.0,31,5.255099
28.0,28,5.255699
50.0,50,5.257034
41.0,41,5.278336
115.0,115,5.301351
81.0,81,5.301409
47.0,47,5.305014
90.0,90,5.307908
19.0,19,5.584985
39.0,39,5.598911
