AverageEpisodeLength,AveragePolicyProb[0],AveragePolicyProb[1],AverageReturn,Entropy,ExplainedVariance,Iteration,MaxEpisodeLength,MaxReturn,MeanKL,MinEpisodeLength,MinReturn,Perplexity,StdEpisodeLength,StdReturn,TotalNEpisodes,TotalNSamples,ValueLoss
20.340425531914892,0.5006808042526245,0.4993191957473755,20.340425531914892,0.6931421160697937,3.82904289264463e-06,1,56,56.0,0.0009067561477422714,9,9.0,1.999990701675415,9.629910398700897,9.629910398700897,94,2000,205.35877990722656
21.83,0.4976295232772827,0.5023704767227173,21.83,0.6922421455383301,-0.00036686542899588837,2,61,61.0,0.0014350709971040487,8,8.0,1.9981913566589355,10.926165841684814,10.926165841684814,186,4000,206.74551391601562
24.07,0.49845999479293823,0.5015400052070618,24.07,0.6890771985054016,0.0009674105251339382,3,86,86.0,0.00120470579713583,9,9.0,1.991896629333496,14.387671806098442,14.387671806098442,269,6000,252.04690551757812
25.51,0.48963072896003723,0.5103693008422852,25.51,0.6837033033370972,0.0028043033963277564,4,100,100.0,0.0011907025473192334,9,9.0,1.981308102607727,16.279738941395834,16.279738941395834,347,8000,207.70962524414062
27.09,0.5055051445960999,0.49449485540390015,27.09,0.6767747402191162,0.00724816612970447,5,109,109.0,0.0009242113446816802,10,10.0,1.96781587600708,16.981221981942287,16.981221981942287,418,10000,222.13307189941406
33.83,0.47739678621292114,0.5226033329963684,33.83,0.6713551878929138,0.016201079035468635,6,109,109.0,0.0011796657927334309,10,10.0,1.9574240446090698,21.821115920135707,21.821115920135707,470,12000,245.93997192382812
39.46,0.49106770753860474,0.5089322924613953,39.46,0.6652747988700867,0.013142309114609563,7,118,118.0,0.0010802728356793523,10,10.0,1.9459041357040405,24.813875150810283,24.813875150810283,513,14000,376.76263427734375
46.41,0.4977153539657593,0.502284586429596,46.41,0.6599814891815186,0.07120451570549158,8,138,138.0,0.0009723648545332253,11,11.0,1.935989260673523,30.73828069362371,30.73828069362371,552,16000,306.919189453125
50.2,0.49144983291625977,0.508550226688385,50.2,0.6515428423881531,0.07701247291257862,9,145,145.0,0.0009244286338798702,11,11.0,1.9203715324401855,31.791508300173493,31.791508300173493,592,18000,259.70574951171875
54.16,0.5161840319633484,0.4838160574436188,54.16,0.6428541541099548,0.05540848408988508,10,178,178.0,0.0008445458952337503,11,11.0,1.9044702053070068,33.30787294319468,33.30787294319468,625,20000,337.339111328125
56.82,0.5002725720405579,0.49972742795944214,56.82,0.6311662197113037,0.06496704896299799,11,214,214.0,0.0009858161211013794,11,11.0,1.8835375308990479,36.224130079271745,36.224130079271745,656,22000,479.60919189453125
61.38,0.4928077459335327,0.5071922540664673,61.38,0.6165681481361389,0.0958288016146015,12,214,214.0,0.0009208531118929386,11,11.0,1.858150839805603,40.27450310059704,40.27450310059704,685,24000,405.8152160644531
68.18,0.4976906180381775,0.5023093819618225,68.18,0.6251090168952942,0.05544218413004143,13,230,230.0,0.0009132002596743405,11,11.0,1.8733055591583252,46.2984621774849,46.2984621774849,702,26000,829.519287109375
79.87,0.4939900040626526,0.5060100555419922,79.87,0.6096444129943848,0.14452826742248903,14,341,341.0,0.0010161470854654908,14,14.0,1.8466500043869019,55.36490856128997,55.36490856128997,723,28000,453.8284606933594
89.89,0.49801918864250183,0.501980721950531,89.89,0.6094719171524048,0.07640100147694107,15,341,341.0,0.0009518500883132219,14,14.0,1.8465619087219238,64.14934060456116,64.14934060456116,738,30000,669.48779296875
98.39,0.5046504139900208,0.4953496754169464,98.39,0.5958775281906128,0.08718417522348798,16,341,341.0,0.0009134400170296431,14,14.0,1.8231842517852783,66.88062424947901,66.88062424947901,756,32000,605.4625854492188
108.52,0.5166788697242737,0.4833211898803711,108.52,0.602576494216919,0.2838292686977436,17,341,341.0,0.0009096030262298882,14,14.0,1.8356361389160156,72.47130190634084,72.47130190634084,767,34000,616.9716796875
123.89,0.5188934803009033,0.4811065196990967,123.89,0.5830506086349487,0.3464452924634812,18,341,341.0,0.0008971930365078151,14,14.0,1.8026230335235596,74.95343821333348,74.95343821333348,780,36000,436.13507080078125
134.09,0.48999327421188354,0.5100066661834717,134.09,0.590235710144043,0.41739989391589305,19,341,341.0,0.0009710196172818542,14,14.0,1.8150418996810913,78.0907286430342,78.0907286430342,788,38000,531.21826171875
148.34,0.4996786415576935,0.5003213286399841,148.34,0.5821636915206909,0.19838381056853394,20,500,500.0,0.0006792519707232714,14,14.0,1.801028847694397,95.88432822938272,95.88432822938272,794,40000,947.046630859375
165.02,0.4787822663784027,0.5212177038192749,165.02,0.5731607675552368,0.5836255934831107,21,500,500.0,0.0008691765833646059,14,14.0,1.786183476448059,110.4011757183772,110.4011757183772,801,42000,368.39190673828125
172.81,0.47675061225891113,0.5232495069503784,172.81,0.5795634388923645,0.31719508435065624,22,500,500.0,0.0007673591026104987,14,14.0,1.7975742816925049,114.11929679068304,114.11929679068304,807,44000,455.8145751953125
183.18,0.49219852685928345,0.5078014731407166,183.18,0.5656881332397461,0.4441345065394364,23,500,500.0,0.0009046518243849277,14,14.0,1.7747409343719482,117.43137400201022,117.43137400201022,811,46000,530.21630859375
197.12,0.4966604709625244,0.5033395886421204,197.12,0.5702341198921204,0.5114870956509879,24,500,500.0,0.0010374427074566483,13,13.0,1.7825889587402344,127.83217748282316,127.83217748282316,817,48000,389.4770812988281
213.04,0.5026106238365173,0.4973893165588379,213.04,0.5767432451248169,0.6278551183978295,25,500,500.0,0.0008082008571363986,13,13.0,1.7924081087112427,138.61463991945442,138.61463991945442,822,50000,278.3511962890625
232.29,0.4929204285144806,0.5070797204971313,232.29,0.5451313257217407,0.5678128292520639,26,500,500.0,0.0008009651792235672,13,13.0,1.742583990097046,143.50451525997363,143.50451525997363,829,52000,349.747802734375
242.39,0.4968257546424866,0.5031740665435791,242.39,0.5716882348060608,0.7493642632724918,27,500,500.0,0.0009110934915952384,13,13.0,1.785634160041809,142.19563249270354,142.19563249270354,834,54000,194.64947509765625
254.45,0.4643603265285492,0.5356398224830627,254.45,0.5525355339050293,0.6627465807545576,28,500,500.0,0.0008366022375412285,13,13.0,1.7560951709747314,144.89219268131737,144.89219268131737,839,56000,255.30606079101562
273.12,0.47448718547821045,0.5255128741264343,273.12,0.550948441028595,0.7567452087084522,29,500,500.0,0.0006968689849600196,13,13.0,1.7526808977127075,148.33147204824738,148.33147204824738,844,58000,167.18927001953125
284.09,0.514346182346344,0.4856537878513336,284.09,0.5529805421829224,0.6889383695058123,30,500,500.0,0.0009342340636067092,13,13.0,1.7559130191802979,150.68955471431985,150.68955471431985,848,60000,179.73081970214844
299.54,0.48220327496528625,0.5177966952323914,299.54,0.5488779544830322,0.692818569971694,31,500,500.0,0.001232661190442741,13,13.0,1.7493414878845215,150.9235183793434,150.9235183793434,852,62000,184.80430603027344
319.96,0.49646902084350586,0.5035309195518494,319.96,0.5515614748001099,0.6243768823490343,32,500,500.0,0.0006733238697052002,13,13.0,1.7523589134216309,146.7196592144352,146.7196592144352,857,64000,267.0155334472656
332.53,0.530268669128418,0.46973127126693726,332.53,0.5603169798851013,0.6143660351731848,33,500,500.0,0.0009348687599413097,13,13.0,1.7669305801391602,141.86052692697854,141.86052692697854,861,66000,245.98495483398438
344.31,0.5089434385299683,0.4910565912723541,344.31,0.5524905323982239,0.7218171860979075,34,500,500.0,0.0009575070580467582,13,13.0,1.754377007484436,142.37602993481732,142.37602993481732,865,68000,179.9077606201172
356.35,0.48091092705726624,0.519088864326477,356.35,0.5485143065452576,0.8098157493184598,35,500,500.0,0.0008577629923820496,13,13.0,1.748441457748413,141.82498898290103,141.82498898290103,869,70000,106.00617980957031
364.79,0.5068522095680237,0.4931478202342987,364.79,0.5637873411178589,0.6549465785846176,36,500,500.0,0.0007609296008013189,13,13.0,1.7721302509307861,138.94173563044333,138.94173563044333,873,72000,201.3092803955078
377.55,0.4899766445159912,0.5100233554840088,377.55,0.5441890358924866,0.7167354458257424,37,500,500.0,0.0015234198654070497,13,13.0,1.740930438041687,135.21637289914264,135.21637289914264,877,74000,178.02371215820312
394.33,0.5018112659454346,0.4981887936592102,394.33,0.5537798404693604,0.7806380119879394,38,500,500.0,0.0006791956257075071,13,13.0,1.7573926448822021,124.12945299162482,124.12945299162482,882,76000,155.33360290527344
405.43,0.48652154207229614,0.5134785175323486,405.43,0.5626071095466614,0.7762992489181202,39,500,500.0,0.0008919280953705311,13,13.0,1.769919753074646,120.03401642867745,120.03401642867745,886,78000,148.62376403808594
410.31,0.5070416927337646,0.4929584264755249,410.31,0.539445698261261,0.5541090263862445,40,500,500.0,0.00080951361451298,13,13.0,1.7350378036499023,120.95690926937576,120.95690926937576,890,80000,284.9943542480469
414.68,0.489393025636673,0.5106069445610046,414.68,0.5451648235321045,0.573516679142488,41,500,500.0,0.0004932281444780529,13,13.0,1.743889331817627,119.74939498803325,119.74939498803325,896,82000,339.4832763671875
