# {"t_start": 1558158482.06067} 
r,l,t
10.0,10,0.040716
10.0,10,0.040812
13.0,13,0.042432
17.0,17,0.044533
13.0,13,0.049115
26.0,26,0.058094
34.0,34,0.058676
10.0,10,0.063342
27.0,27,0.063391
15.0,15,0.066659
61.0,61,0.07275
21.0,21,0.074324
23.0,23,0.075387
14.0,14,0.079928
18.0,18,0.083478
39.0,39,0.086557
19.0,19,0.089671
15.0,15,0.091251
18.0,18,0.095855
16.0,16,0.098013
48.0,48,0.100146
23.0,23,0.103247
21.0,21,0.110863
29.0,29,0.112968
43.0,43,0.118155
18.0,18,0.120311
34.0,34,0.120888
17.0,17,0.121968
10.0,10,0.125587
20.0,20,0.12879
18.0,18,0.130428
21.0,21,0.132998
25.0,25,0.138863
18.0,18,0.139969
26.0,26,0.142546
9.0,9,0.144614
25.0,25,0.146177
23.0,23,0.15072
15.0,15,0.153777
29.0,29,0.159391
28.0,28,0.165053
46.0,46,0.166137
28.0,28,0.168244
22.0,22,0.170865
25.0,25,0.179034
35.0,35,0.18315
31.0,31,0.186755
39.0,39,0.188599
18.0,18,0.188655
14.0,14,0.197371
33.0,33,0.202213
17.0,17,0.206385
33.0,33,0.207459
13.0,13,0.209027
44.0,44,0.21166
16.0,16,0.215737
22.0,22,0.21785
15.0,15,0.219481
21.0,21,0.220049
12.0,12,0.222118
16.0,16,0.226381
12.0,12,0.226432
23.0,23,0.231473
25.0,25,0.240245
16.0,16,0.240865
31.0,31,0.243499
41.0,41,0.244582
11.0,11,0.246781
18.0,18,0.249923
15.0,15,0.254492
25.0,25,0.256706
31.0,31,0.261092
32.0,32,0.266667
24.0,24,0.269315
23.0,23,0.272913
15.0,15,0.274508
14.0,14,0.276584
47.0,47,0.279139
17.0,17,0.281702
18.0,18,0.283847
14.0,14,0.28642
21.0,21,0.287571
15.0,15,0.294428
21.0,21,0.294992
39.0,39,1.071973
20.0,20,1.076153
34.0,34,1.076936
23.0,23,1.079551
10.0,10,1.083488
15.0,15,1.087141
14.0,14,1.095475
27.0,27,1.099698
35.0,35,1.100974
11.0,11,1.102633
54.0,54,1.108163
10.0,10,1.109448
13.0,13,1.110099
18.0,18,1.111916
15.0,15,1.118548
15.0,15,1.121009
10.0,10,1.124642
28.0,28,1.125317
13.0,13,1.128919
39.0,39,1.133647
17.0,17,1.135501
19.0,19,1.136151
19.0,19,1.140313
13.0,13,1.148075
25.0,25,1.150535
28.0,28,1.152963
33.0,33,1.153632
19.0,19,1.15963
14.0,14,1.161448
12.0,12,1.168512
26.0,26,1.169403
41.0,41,1.175898
29.0,29,1.177991
15.0,15,1.178685
14.0,14,1.178733
11.0,11,1.182985
27.0,27,1.194211
30.0,30,1.196687
26.0,26,1.198522
37.0,37,1.200973
15.0,15,1.203356
13.0,13,1.206286
21.0,21,1.215943
33.0,33,1.216652
17.0,17,1.226096
34.0,34,1.226765
47.0,47,1.229236
16.0,16,1.235855
32.0,32,1.23591
12.0,12,1.236522
18.0,18,1.237575
14.0,14,1.243413
15.0,15,1.243986
16.0,16,1.251908
19.0,19,1.254163
34.0,34,1.255827
38.0,38,1.256957
8.0,8,1.260273
18.0,18,1.261966
14.0,14,1.268168
13.0,13,1.269693
32.0,32,1.272491
29.0,29,1.273605
17.0,17,1.283695
21.0,21,1.284841
32.0,32,1.288108
9.0,9,1.289759
18.0,18,1.293653
15.0,15,1.296401
20.0,20,1.304679
34.0,34,1.308521
24.0,24,1.309662
76.0,76,1.311335
17.0,17,1.314235
19.0,19,1.320186
18.0,18,1.324006
30.0,30,1.325184
31.0,31,1.328549
22.0,22,1.332453
24.0,24,1.337578
10.0,10,1.338194
23.0,23,1.341524
30.0,30,1.342117
12.0,12,1.348776
24.0,24,1.351558
27.0,27,1.352726
21.0,21,1.353366
11.0,11,1.355036
10.0,10,1.360498
24.0,24,1.68023
26.0,26,1.682227
9.0,9,1.687862
53.0,53,1.697267
21.0,21,1.710557
39.0,39,1.7125
64.0,64,1.714466
13.0,13,1.718898
23.0,23,1.727036
81.0,81,1.731521
21.0,21,1.732215
37.0,37,1.737944
20.0,20,1.744876
38.0,38,1.751203
21.0,21,1.751259
21.0,21,1.758112
16.0,16,1.761324
32.0,32,1.771346
67.0,67,1.773905
20.0,20,1.77396
33.0,33,1.77921
12.0,12,1.779269
23.0,23,1.788762
24.0,24,1.78945
14.0,14,1.798204
21.0,21,1.801935
40.0,40,1.804486
41.0,41,1.805133
18.0,18,1.812823
17.0,17,1.814648
28.0,28,1.815319
13.0,13,1.822277
33.0,33,1.832314
17.0,17,1.832372
52.0,52,1.835956
11.0,11,1.838988
11.0,11,1.839039
9.0,9,1.844353
50.0,50,1.844995
21.0,21,1.848566
22.0,22,1.852094
12.0,12,1.855714
18.0,18,1.855766
34.0,34,1.871283
28.0,28,1.871339
49.0,49,1.872466
35.0,35,1.875245
12.0,12,1.87796
13.0,13,1.878554
15.0,15,1.883533
21.0,21,1.890755
13.0,13,1.892127
27.0,27,1.895256
45.0,45,1.899092
21.0,21,1.903102
22.0,22,1.904761
14.0,14,1.906999
14.0,14,1.914555
47.0,47,1.921134
19.0,19,1.924944
44.0,44,1.927147
13.0,13,1.932018
50.0,50,1.932062
26.0,26,1.935333
10.0,10,1.940758
40.0,40,1.948848
34.0,34,1.950483
43.0,43,1.955341
32.0,32,1.958076
17.0,17,1.95812
16.0,16,1.964051
25.0,25,1.964095
15.0,15,1.966312
10.0,10,1.969588
18.0,18,1.973955
15.0,15,2.392225
39.0,39,2.394362
33.0,33,2.400502
20.0,20,2.401463
15.0,15,2.405728
29.0,29,2.41269
21.0,21,2.415722
23.0,23,2.426566
43.0,43,2.428444
26.0,26,2.431446
43.0,43,2.432094
17.0,17,2.436893
15.0,15,2.441121
21.0,21,2.441176
12.0,12,2.444074
24.0,24,2.445918
12.0,12,2.448337
23.0,23,2.454854
23.0,23,2.461872
31.0,31,2.462515
14.0,14,2.470193
46.0,46,2.472368
40.0,40,2.476964
29.0,29,2.47754
23.0,23,2.489238
28.0,28,2.491822
45.0,45,2.496158
52.0,52,2.497799
22.0,22,2.502704
14.0,14,2.505984
23.0,23,2.51263
35.0,35,2.513246
18.0,18,2.516019
14.0,14,2.520386
24.0,24,2.526682
14.0,14,2.528707
23.0,23,2.529339
12.0,12,2.533734
12.0,12,2.535426
58.0,58,2.536559
14.0,14,2.537186
13.0,13,2.540988
13.0,13,2.543705
15.0,15,2.55186
31.0,31,2.552455
48.0,48,2.563214
46.0,46,2.566047
11.0,11,2.569401
43.0,43,2.57586
48.0,48,2.57809
23.0,23,2.578685
27.0,27,2.58414
22.0,22,2.590323
12.0,12,2.596919
36.0,36,2.598605
27.0,27,2.599229
43.0,43,2.621205
51.0,51,2.627727
100.0,100,2.631608
11.0,11,2.633845
16.0,16,2.64059
26.0,26,2.648257
95.0,95,2.6516
23.0,23,2.653319
61.0,61,2.654985
20.0,20,2.659424
19.0,19,2.662194
15.0,15,2.663361
13.0,13,2.669509
23.0,23,2.672283
18.0,18,2.673417
38.0,38,2.674538
14.0,14,2.991861
12.0,12,2.999311
36.0,36,3.00362
47.0,47,3.013268
29.0,29,3.02053
72.0,72,3.026377
36.0,36,3.039478
27.0,27,3.040332
56.0,56,3.044748
17.0,17,3.052001
20.0,20,3.054956
14.0,14,3.055029
16.0,16,3.063622
