# {"t_start": 1558278624.791153} 
r,l,t
9.0,9,0.036924
11.0,11,0.038083
14.0,14,0.039751
15.0,15,0.04034
14.0,14,0.048089
22.0,22,0.049228
25.0,25,0.053542
13.0,13,0.055188
13.0,13,0.056359
12.0,12,0.06008
10.0,10,0.061871
26.0,26,0.069411
21.0,21,0.073132
16.0,16,0.077884
84.0,84,0.083697
12.0,12,0.084307
21.0,21,0.084348
57.0,57,0.090647
19.0,19,0.093984
11.0,11,0.096655
25.0,25,0.097796
31.0,31,0.101061
17.0,17,0.103235
13.0,13,0.108093
24.0,24,0.110771
26.0,26,0.110817
17.0,17,0.112427
9.0,9,0.115664
12.0,12,0.117309
20.0,20,0.118962
11.0,11,0.121654
17.0,17,0.121699
7.0,7,0.125574
17.0,17,0.126708
18.0,18,0.128935
21.0,21,0.133302
19.0,19,0.135977
20.0,20,0.139746
25.0,25,0.140329
17.0,17,0.142622
17.0,17,0.148973
27.0,27,0.150612
20.0,20,0.151204
17.0,17,0.151784
9.0,9,0.153934
7.0,7,0.155579
18.0,18,0.160432
10.0,10,0.161187
14.0,14,0.161818
8.0,8,0.165026
25.0,25,0.16507
18.0,18,0.170953
14.0,14,0.172622
20.0,20,0.175839
26.0,26,0.175884
16.0,16,0.179649
9.0,9,0.180777
18.0,18,0.182453
10.0,10,0.186205
30.0,30,0.192106
11.0,11,0.192156
18.0,18,0.192183
26.0,26,0.195355
11.0,11,0.199698
14.0,14,0.201336
13.0,13,0.202446
11.0,11,0.207349
11.0,11,0.208497
40.0,40,0.215863
16.0,16,0.216468
8.0,8,0.220911
10.0,10,0.221518
23.0,23,0.221559
8.0,8,0.225784
52.0,52,0.228486
14.0,14,0.229111
21.0,21,0.232687
13.0,13,0.236504
19.0,19,0.239171
28.0,28,0.241316
22.0,22,0.244592
11.0,11,0.250624
20.0,20,0.252385
35.0,35,0.255575
11.0,11,0.256699
9.0,9,0.257277
37.0,37,0.259431
10.0,10,0.262095
15.0,15,0.263719
16.0,16,0.26589
12.0,12,0.270158
18.0,18,0.271788
14.0,14,0.273401
9.0,9,0.276622
33.0,33,0.27721
14.0,14,0.277786
11.0,11,0.282515
22.0,22,0.285409
21.0,21,0.288661
13.0,13,0.29252
29.0,29,0.293674
12.0,12,0.295389
28.0,28,0.298144
14.0,14,0.301427
17.0,17,0.302022
16.0,16,0.30417
15.0,15,1.617533
18.0,18,1.618838
25.0,25,1.619528
16.0,16,1.620826
9.0,9,1.625193
19.0,19,1.629594
10.0,10,1.631502
26.0,26,1.637057
19.0,19,1.641357
18.0,18,1.642662
12.0,12,1.644539
9.0,9,1.648237
19.0,19,1.653219
11.0,11,1.655124
63.0,63,1.658258
14.0,14,1.662
20.0,20,1.667671
15.0,15,1.667726
39.0,39,1.669021
16.0,16,1.672175
10.0,10,1.674094
12.0,12,1.679683
19.0,19,1.679735
14.0,14,1.68283
10.0,10,1.689005
22.0,22,1.693409
42.0,42,1.695333
26.0,26,1.696001
17.0,17,1.699785
11.0,11,1.700485
13.0,13,1.703621
21.0,21,1.709258
17.0,17,1.714286
15.0,15,1.718586
34.0,34,1.72126
37.0,37,1.723779
16.0,16,1.728761
26.0,26,1.730669
15.0,15,1.733176
24.0,24,1.736322
19.0,19,1.742422
22.0,22,1.742476
16.0,16,1.746151
26.0,26,1.749167
15.0,15,1.755305
30.0,30,1.760902
24.0,24,1.764028
25.0,25,1.770746
15.0,15,1.773229
8.0,8,1.778137
30.0,30,1.779406
22.0,22,1.784314
10.0,10,1.784369
77.0,77,1.789645
12.0,12,1.791367
27.0,27,1.795317
19.0,19,1.795365
12.0,12,1.796516
14.0,14,1.79935
11.0,11,1.801642
15.0,15,1.805029
12.0,12,1.806192
8.0,8,1.810718
11.0,11,1.811515
22.0,22,1.814611
33.0,33,1.814663
17.0,17,1.821371
12.0,12,1.821422
36.0,36,1.831582
41.0,41,1.83776
29.0,29,1.83781
36.0,36,1.841701
9.0,9,1.842876
14.0,14,1.845747
13.0,13,1.849278
32.0,32,1.849905
22.0,22,1.855559
12.0,12,1.856168
20.0,20,1.857374
11.0,11,1.862114
12.0,12,1.864414
15.0,15,1.865009
8.0,8,1.866761
13.0,13,1.871923
13.0,13,1.872574
13.0,13,1.874392
49.0,49,1.878351
12.0,12,1.881206
19.0,19,1.883522
20.0,20,1.88357
16.0,16,1.887535
11.0,11,1.889846
12.0,12,1.890449
19.0,19,1.892202
8.0,8,1.894523
19.0,19,1.898574
18.0,18,1.900814
18.0,18,1.902635
19.0,19,1.905461
9.0,9,1.907801
20.0,20,1.910111
17.0,17,1.910734
9.0,9,1.913437
11.0,11,2.181542
20.0,20,2.182301
21.0,21,2.188874
12.0,12,2.189605
17.0,17,2.19356
9.0,9,2.194986
27.0,27,2.195728
10.0,10,2.196445
10.0,10,2.200391
10.0,10,2.201741
10.0,10,2.203096
14.0,14,2.210994
18.0,18,2.212464
30.0,30,2.215819
7.0,7,2.215876
27.0,27,2.22117
16.0,16,2.22639
12.0,12,2.229052
25.0,25,2.229106
24.0,24,2.231751
12.0,12,2.237105
20.0,20,2.245008
33.0,33,2.248334
30.0,30,2.249035
30.0,30,2.256797
25.0,25,2.261344
9.0,9,2.262683
22.0,22,2.263416
24.0,24,2.264118
15.0,15,2.271283
22.0,22,2.277154
10.0,10,2.277884
23.0,23,2.278587
9.0,9,2.283293
13.0,13,2.287226
10.0,10,2.28988
22.0,22,2.292535
10.0,10,2.296616
14.0,14,2.30181
72.0,72,2.311537
24.0,24,2.312197
16.0,16,2.321339
20.0,20,2.324481
38.0,38,2.325774
79.0,79,2.337228
28.0,28,2.338469
25.0,25,2.339712
10.0,10,2.344536
10.0,10,2.34582
15.0,15,2.346475
39.0,39,2.349544
11.0,11,2.353263
16.0,16,2.359361
26.0,26,2.361836
14.0,14,2.367765
45.0,45,2.371721
22.0,22,2.374571
15.0,15,2.376281
10.0,10,2.382019
54.0,54,2.384841
8.0,8,2.386613
27.0,27,2.389984
35.0,35,2.39172
15.0,15,2.400586
28.0,28,2.401199
34.0,34,2.406234
14.0,14,2.409094
19.0,19,2.411794
16.0,16,2.415778
15.0,15,2.424179
26.0,26,2.426504
33.0,33,2.42826
17.0,17,2.436315
18.0,18,2.438598
87.0,87,2.440414
11.0,11,2.446644
25.0,25,2.450607
21.0,21,2.450652
8.0,8,2.451254
8.0,8,2.455213
19.0,19,2.465958
27.0,27,2.466008
74.0,74,2.466657
14.0,14,2.4745
18.0,18,2.476231
62.0,62,2.486427
29.0,29,2.750374
12.0,12,2.751124
9.0,9,2.756343
10.0,10,2.757717
46.0,46,2.759718
7.0,7,2.764307
13.0,13,2.765043
22.0,22,2.772156
11.0,11,2.77935
10.0,10,2.786354
36.0,36,2.78902
108.0,108,2.791026
10.0,10,2.793047
14.0,14,2.800132
13.0,13,2.80186
21.0,21,2.80929
15.0,15,2.810706
16.0,16,2.812702
18.0,18,2.824408
32.0,32,2.830291
10.0,10,2.831014
32.0,32,2.83173
10.0,10,2.836971
11.0,11,2.838343
108.0,108,2.838394
19.0,19,2.844203
13.0,13,2.847041
24.0,24,2.852922
13.0,13,2.85298
16.0,16,2.863471
28.0,28,2.8655
43.0,43,2.866852
10.0,10,2.870184
15.0,15,2.875471
40.0,40,2.879281
7.0,7,2.879959
22.0,22,2.884257
13.0,13,2.887305
8.0,8,2.889152
39.0,39,2.891682
22.0,22,2.893568
27.0,27,2.905612
31.0,31,2.912683
43.0,43,2.914015
10.0,10,2.918887
13.0,13,2.921995
27.0,27,2.922661
52.0,52,2.923998
18.0,18,2.930137
13.0,13,2.930193
14.0,14,2.9314
9.0,9,2.935568
11.0,11,2.936759
31.0,31,2.942487
13.0,13,2.944232
23.0,23,2.944869
17.0,17,2.945771
11.0,11,2.949178
11.0,11,2.95093
18.0,18,2.955562
14.0,14,2.959642
34.0,34,2.966044
13.0,13,2.967229
32.0,32,2.968477
26.0,26,2.971366
11.0,11,2.974837
20.0,20,2.977703
17.0,17,2.981076
24.0,24,2.981126
12.0,12,2.984519
8.0,8,2.985666
19.0,19,2.98571
10.0,10,2.991312
15.0,15,2.994161
26.0,26,2.995889
23.0,23,2.997657
11.0,11,2.997704
19.0,19,3.005075
15.0,15,3.00625
21.0,21,3.009702
18.0,18,3.015621
11.0,11,3.016264
35.0,35,3.01631
23.0,23,3.019692
10.0,10,3.021457
10.0,10,3.025415
22.0,22,3.028802
9.0,9,3.030525
40.0,40,3.038914
33.0,33,3.040084
19.0,19,3.041254
10.0,10,3.044637
49.0,49,3.056529
29.0,29,3.314127
35.0,35,3.316877
18.0,18,3.324953
19.0,19,3.3299
7.0,7,3.334545
34.0,34,3.337225
20.0,20,3.338578
9.0,9,3.343103
24.0,24,3.350335
23.0,23,3.353643
92.0,92,3.360169
12.0,12,3.36156
28.0,28,3.361614
25.0,25,3.366843
11.0,11,3.367553
17.0,17,3.372775
17.0,17,3.378657
11.0,11,3.380023
38.0,38,3.386519
29.0,29,3.397556
28.0,28,3.39829
51.0,51,3.400314
16.0,16,3.408086
31.0,31,3.418995
49.0,49,3.419062
35.0,35,3.423643
29.0,29,3.42781
10.0,10,3.430467
18.0,18,3.431193
15.0,15,3.437789
34.0,34,3.441769
12.0,12,3.44563
30.0,30,3.450575
37.0,37,3.454297
22.0,22,3.455593
20.0,20,3.458032
13.0,13,3.462381
13.0,13,3.463644
10.0,10,3.4643
14.0,14,3.472889
19.0,19,3.474199
38.0,38,3.474248
22.0,22,3.477328
9.0,9,3.478639
13.0,13,3.482282
24.0,24,3.489027
20.0,20,3.490874
18.0,18,3.49335
13.0,13,3.498928
38.0,38,3.500748
20.0,20,3.501378
10.0,10,3.504767
30.0,30,3.511017
19.0,19,3.515687
38.0,38,3.5224
44.0,44,3.526359
13.0,13,3.529769
37.0,37,3.532056
16.0,16,3.535531
37.0,37,3.536705
11.0,11,3.541758
7.0,7,3.545717
32.0,32,3.548021
38.0,38,3.553685
17.0,17,3.555421
40.0,40,3.559357
11.0,11,3.561661
14.0,14,3.567256
37.0,37,3.569027
29.0,29,3.570207
10.0,10,3.575802
32.0,32,3.579794
24.0,24,3.58102
23.0,23,3.582162
30.0,30,3.593128
26.0,26,3.595983
28.0,28,3.598263
16.0,16,3.602213
16.0,16,3.605044
17.0,17,3.607928
20.0,20,3.613654
67.0,67,3.61827
32.0,32,3.88029
29.0,29,3.881697
19.0,19,3.88175
14.0,14,3.889526
26.0,26,3.89168
8.0,8,3.895063
26.0,26,3.899042
36.0,36,3.905594
27.0,27,3.909525
24.0,24,3.910927
14.0,14,3.91515
13.0,13,3.919756
50.0,50,3.932154
38.0,38,3.934908
30.0,30,3.934975
10.0,10,3.941536
33.0,33,3.9416
21.0,21,3.94615
13.0,13,3.950099
20.0,20,3.954673
15.0,15,3.959914
22.0,22,3.960622
11.0,11,3.961982
48.0,48,3.966747
15.0,15,3.970801
20.0,20,3.973461
14.0,14,3.976156
12.0,12,3.981561
25.0,25,3.987404
18.0,18,3.988135
19.0,19,3.994162
15.0,15,3.997485
12.0,12,4.002059
64.0,64,4.004716
12.0,12,4.00542
12.0,12,4.009779
43.0,43,4.015856
12.0,12,4.017138
22.0,22,4.018837
11.0,11,4.023254
27.0,27,4.035335
30.0,30,4.036011
21.0,21,4.036058
19.0,19,4.047615
74.0,74,4.051283
27.0,27,4.051975
30.0,30,4.05443
28.0,28,4.068026
38.0,38,4.07031
33.0,33,4.071513
24.0,24,4.081709
48.0,48,4.082339
29.0,29,4.086834
16.0,16,4.091321
36.0,36,4.091925
24.0,24,4.095428
15.0,15,4.095482
8.0,8,4.09609
8.0,8,4.096693
29.0,29,4.111742
27.0,27,4.111794
35.0,35,4.115731
15.0,15,4.124158
52.0,52,4.124787
27.0,27,4.127081
15.0,15,4.133255
19.0,19,4.135022
16.0,16,4.136199
54.0,54,4.142374
12.0,12,4.142991
28.0,28,4.149156
12.0,12,4.149206
20.0,20,4.160511
20.0,20,4.171772
56.0,56,4.174671
72.0,72,4.17586
50.0,50,4.17758
16.0,16,4.181118
14.0,14,4.184001
16.0,16,4.18405
11.0,11,4.444711
11.0,11,4.448141
33.0,33,4.455312
20.0,20,4.461211
26.0,26,4.461928
16.0,16,4.471537
57.0,57,4.478089
36.0,36,4.478834
15.0,15,4.487852
26.0,26,4.488564
42.0,42,4.489272
12.0,12,4.497117
16.0,16,4.499123
43.0,43,4.506975
17.0,17,4.508338
22.0,22,4.513602
23.0,23,4.52213
27.0,27,4.526064
31.0,31,4.533847
29.0,29,4.541078
16.0,16,4.544532
13.0,13,4.549806
107.0,107,4.558441
19.0,19,4.562397
19.0,19,4.570857
46.0,46,4.574636
13.0,13,4.578957
12.0,12,4.582066
96.0,96,4.588215
44.0,44,4.590124
10.0,10,4.594387
22.0,22,4.595798
17.0,17,4.60612
24.0,24,4.609224
39.0,39,4.614127
64.0,64,4.618352
9.0,9,4.619595
24.0,24,4.620879
37.0,37,4.631542
20.0,20,4.632784
25.0,25,4.634521
31.0,31,4.636864
16.0,16,4.646027
26.0,26,4.647792
37.0,37,4.652836
11.0,11,4.654028
39.0,39,4.656857
21.0,21,4.658025
17.0,17,4.662669
14.0,14,4.66497
7.0,7,4.666685
17.0,17,4.67622
47.0,47,4.68074
55.0,55,4.689119
27.0,27,4.691405
7.0,7,4.693173
14.0,14,4.701069
26.0,26,4.706168
80.0,80,4.710186
25.0,25,4.715221
61.0,61,4.715271
19.0,19,4.720865
35.0,35,4.725992
25.0,25,4.729381
11.0,11,4.732235
35.0,35,4.735081
12.0,12,4.739016
18.0,18,4.739616
12.0,12,4.746065
28.0,28,5.013939
37.0,37,5.014681
16.0,16,5.025151
34.0,34,5.025213
87.0,87,5.031163
11.0,11,5.032523
34.0,34,5.053204
36.0,36,5.05587
55.0,55,5.061049
79.0,79,5.065679
