# {"t_start": 1558373809.707113} 
r,l,t
14.0,14,0.023968
17.0,17,0.0257
18.0,18,0.026322
19.0,19,0.026948
9.0,9,0.031322
10.0,10,0.03137
10.0,10,0.032619
9.0,9,0.036869
25.0,25,0.038543
14.0,14,0.040732
9.0,9,0.041844
24.0,24,0.045197
13.0,13,0.045801
9.0,9,0.046922
16.0,16,0.04994
9.0,9,0.051099
7.0,7,0.051141
12.0,12,0.056519
11.0,11,0.057107
24.0,24,0.05875
6.0,6,0.060551
11.0,11,0.062888
23.0,23,0.064222
12.0,12,0.067581
9.0,9,0.068202
11.0,11,0.074115
19.0,19,0.078028
10.0,10,0.079782
10.0,10,0.083565
17.0,17,0.089041
54.0,54,0.089089
10.0,10,0.095028
58.0,58,0.096936
15.0,15,0.098374
12.0,12,0.102824
33.0,33,0.103653
16.0,16,0.107119
11.0,11,0.109443
20.0,20,0.11058
12.0,12,0.113964
9.0,9,0.115795
14.0,14,0.117507
28.0,28,0.11985
13.0,13,0.121595
9.0,9,0.122749
6.0,6,0.123347
16.0,16,0.125175
9.0,9,0.126883
9.0,9,0.127997
9.0,9,0.128576
8.0,8,0.13155
9.0,9,0.13347
15.0,15,0.134101
9.0,9,0.134142
8.0,8,0.136352
8.0,8,0.138624
15.0,15,0.142542
19.0,19,0.144247
12.0,12,0.145377
19.0,19,0.147031
9.0,9,0.149249
9.0,9,0.150464
16.0,16,0.156013
33.0,33,0.160885
9.0,9,0.160935
14.0,14,0.1686
27.0,27,0.176007
17.0,17,0.178191
8.0,8,0.180372
57.0,57,0.180964
14.0,14,0.190186
16.0,16,0.190801
10.0,10,0.196232
14.0,14,0.197923
92.0,92,0.20309
24.0,24,0.209637
21.0,21,0.209688
12.0,12,0.209714
10.0,10,0.215423
15.0,15,0.218193
12.0,12,0.221997
28.0,28,0.225271
11.0,11,0.227969
21.0,21,0.229678
16.0,16,0.234245
10.0,10,0.235394
15.0,15,0.236525
103.0,103,0.237123
8.0,8,0.238799
8.0,8,0.23991
8.0,8,0.241557
14.0,14,0.244322
20.0,20,0.250046
16.0,16,0.250656
13.0,13,0.251908
29.0,29,0.256294
10.0,10,0.257425
17.0,17,0.259634
8.0,8,0.260841
16.0,16,0.266282
12.0,12,0.266331
7.0,7,0.270485
12.0,12,0.273263
8.0,8,0.274911
27.0,27,0.276096
11.0,11,0.279611
10.0,10,0.281882
13.0,13,0.282467
59.0,59,0.284172
9.0,9,0.287404
12.0,12,0.288512
19.0,19,0.294596
16.0,16,0.296251
31.0,31,0.296848
23.0,23,0.301288
16.0,16,1.677407
14.0,14,1.678129
9.0,9,1.680692
8.0,8,1.682627
22.0,22,1.683908
8.0,8,1.687919
16.0,16,1.688749
14.0,14,1.690195
21.0,21,1.698244
16.0,16,1.700929
13.0,13,1.709143
18.0,18,1.709848
39.0,39,1.713674
13.0,13,1.71823
45.0,45,1.718292
19.0,19,1.721442
9.0,9,1.724025
13.0,13,1.726523
26.0,26,1.730285
14.0,14,1.730336
9.0,9,1.732246
17.0,17,1.734881
9.0,9,1.736186
7.0,7,1.736874
13.0,13,1.7432
20.0,20,1.749489
22.0,22,1.750206
32.0,32,1.750902
24.0,24,1.758375
15.0,15,1.759077
15.0,15,1.759777
15.0,15,1.760449
11.0,11,1.766192
14.0,14,1.769414
21.0,21,1.773167
27.0,27,1.77589
20.0,20,1.779116
9.0,9,1.779169
10.0,10,1.785561
16.0,16,1.78629
27.0,27,1.786987
10.0,10,1.792569
12.0,12,1.793242
13.0,13,1.795188
27.0,27,1.796538
8.0,8,1.798405
12.0,12,1.802765
10.0,10,1.804704
19.0,19,1.804753
12.0,12,1.812214
25.0,25,1.812275
16.0,16,1.812954
13.0,13,1.813
8.0,8,1.817893
10.0,10,1.819204
6.0,6,1.822968
17.0,17,1.823018
12.0,12,1.825609
26.0,26,1.828794
13.0,13,1.831339
15.0,15,1.83261
9.0,9,1.834544
10.0,10,1.837896
20.0,20,1.838582
12.0,12,1.842389
19.0,19,1.849621
19.0,19,1.850245
15.0,15,1.851422
33.0,33,1.853125
8.0,8,1.855814
9.0,9,1.858214
17.0,17,1.859357
15.0,15,1.865045
9.0,9,1.865105
16.0,16,1.868013
34.0,34,1.870292
11.0,11,1.871424
11.0,11,1.874533
25.0,25,1.879855
17.0,17,1.881611
21.0,21,1.882798
22.0,22,1.887448
12.0,12,1.888699
13.0,13,1.890487
11.0,11,1.895137
26.0,26,1.895187
13.0,13,1.895214
11.0,11,1.901435
15.0,15,1.903793
26.0,26,1.905551
22.0,22,1.907892
14.0,14,1.911853
18.0,18,1.911902
19.0,19,1.916804
13.0,13,1.91994
23.0,23,1.925668
17.0,17,1.929676
37.0,37,1.929726
25.0,25,1.9315
11.0,11,1.932119
8.0,8,1.934797
12.0,12,1.937174
10.0,10,1.940614
