# {"t_start": 1558277310.770539} 
r,l,t
13.0,13,0.039326
18.0,18,0.042107
28.0,28,0.047702
32.0,32,0.049926
14.0,14,0.04998
35.0,35,0.059029
19.0,19,0.060727
24.0,24,0.06132
12.0,12,0.065597
17.0,17,0.069851
20.0,20,0.072046
40.0,40,0.072093
13.0,13,0.076889
13.0,13,0.079047
14.0,14,0.07964
32.0,32,0.082979
9.0,9,0.084099
15.0,15,0.085205
10.0,10,0.088414
18.0,18,0.08953
13.0,13,0.091165
16.0,16,0.096962
18.0,18,0.099201
26.0,26,0.099249
19.0,19,0.101442
13.0,13,0.106238
17.0,17,0.106285
17.0,17,0.108478
14.0,14,0.109049
14.0,14,0.113861
16.0,16,0.115062
21.0,21,0.12035
11.0,11,0.120939
19.0,19,0.124194
17.0,17,0.129561
23.0,23,0.133448
21.0,21,0.135727
52.0,52,0.13687
13.0,13,0.143809
22.0,22,0.145451
22.0,22,0.147694
44.0,44,0.153541
18.0,18,0.157306
38.0,38,0.164331
39.0,39,0.166518
33.0,33,0.174936
17.0,17,0.175522
25.0,25,0.177701
17.0,17,0.184683
23.0,23,0.187375
63.0,63,0.187422
21.0,21,0.189058
15.0,15,0.196999
26.0,26,0.200527
24.0,24,0.20386
23.0,23,0.209744
41.0,41,0.211406
32.0,32,0.217849
18.0,18,0.219489
32.0,32,0.221132
12.0,12,0.224423
16.0,16,0.228159
37.0,37,0.231364
9.0,9,0.233144
17.0,17,0.233722
10.0,10,0.236915
30.0,30,0.237504
10.0,10,0.23862
9.0,9,0.241905
16.0,16,0.242518
11.0,11,0.247887
21.0,21,0.249006
18.0,18,0.252228
8.0,8,0.252274
33.0,33,0.256592
15.0,15,0.25722
12.0,12,0.258883
17.0,17,0.261629
11.0,11,0.263263
14.0,14,0.264404
11.0,11,0.267649
16.0,16,0.267697
15.0,15,0.272524
20.0,20,0.274171
12.0,12,0.274228
10.0,10,0.278014
20.0,20,0.278595
23.0,23,0.286614
17.0,17,0.28775
29.0,29,0.290018
14.0,14,0.294246
11.0,11,0.295869
16.0,16,0.296453
17.0,17,0.305637
20.0,20,1.035301
20.0,20,1.047751
24.0,24,1.049076
45.0,45,1.049125
80.0,80,1.052231
20.0,20,1.063157
22.0,22,1.064702
27.0,27,1.071363
34.0,34,1.071427
19.0,19,1.077068
24.0,24,1.078972
14.0,14,1.080269
11.0,11,1.083986
16.0,16,1.09011
17.0,17,1.094433
42.0,42,1.097538
11.0,11,1.101243
23.0,23,1.104386
12.0,12,1.108733
23.0,23,1.111836
56.0,56,1.113781
14.0,14,1.117579
14.0,14,1.120724
28.0,28,1.121991
16.0,16,1.123913
14.0,14,1.126403
17.0,17,1.132551
20.0,20,1.133238
14.0,14,1.135303
16.0,16,1.143323
13.0,13,1.143381
23.0,23,1.147254
38.0,38,1.147922
15.0,15,1.152774
10.0,10,1.153462
16.0,16,1.157928
8.0,8,1.158639
10.0,10,1.164844
27.0,27,1.169795
9.0,9,1.170503
11.0,11,1.177212
18.0,18,1.180963
63.0,63,1.18287
46.0,46,1.186528
10.0,10,1.187206
24.0,24,1.19213
10.0,10,1.193428
12.0,12,1.200812
33.0,33,1.203321
9.0,9,1.20658
34.0,34,1.207923
15.0,15,1.216483
18.0,18,1.217083
23.0,23,1.217124
50.0,50,1.222227
11.0,11,1.22288
15.0,15,1.225738
18.0,18,1.227468
10.0,10,1.228625
12.0,12,1.22924
12.0,12,1.234334
19.0,19,1.236767
21.0,21,1.240746
22.0,22,1.241936
19.0,19,1.245368
19.0,19,1.247677
16.0,16,1.254494
25.0,25,1.256244
29.0,29,1.257485
26.0,26,1.269404
27.0,27,1.271685
36.0,36,1.277878
58.0,58,1.28075
21.0,21,1.283679
27.0,27,1.284907
16.0,16,1.290135
24.0,24,1.291912
17.0,17,1.294787
24.0,24,1.29765
19.0,19,1.301087
20.0,20,1.303351
17.0,17,1.313441
41.0,41,1.318634
36.0,36,1.322186
15.0,15,1.327413
31.0,31,1.331528
17.0,17,1.332194
64.0,64,1.335087
11.0,11,1.338705
22.0,22,1.603467
18.0,18,1.605565
12.0,12,1.609527
19.0,19,1.616038
29.0,29,1.616777
17.0,17,1.616826
12.0,12,1.617525
15.0,15,1.627212
21.0,21,1.629794
21.0,21,1.630521
22.0,22,1.63124
11.0,11,1.638381
16.0,16,1.641036
24.0,24,1.643052
20.0,20,1.643103
14.0,14,1.647662
16.0,16,1.658024
26.0,26,1.658084
25.0,25,1.659407
13.0,13,1.668339
16.0,16,1.669062
9.0,9,1.67428
21.0,21,1.682702
17.0,17,1.685322
14.0,14,1.691794
16.0,16,1.695754
10.0,10,1.698413
101.0,101,1.709572
19.0,19,1.710956
100.0,100,1.724099
28.0,28,1.728038
27.0,27,1.728758
12.0,12,1.735601
12.0,12,1.73629
63.0,63,1.736975
8.0,8,1.741218
32.0,32,1.744323
20.0,20,1.749206
9.0,9,1.749889
26.0,26,1.751776
21.0,21,1.754302
16.0,16,1.759853
22.0,22,1.762948
17.0,17,1.764834
14.0,14,1.7685
29.0,29,1.769795
11.0,11,1.776473
21.0,21,1.777752
26.0,26,1.779045
20.0,20,1.780907
12.0,12,1.783965
12.0,12,1.786441
20.0,20,1.789887
28.0,28,1.797208
16.0,16,1.798931
28.0,28,1.800128
24.0,24,1.800169
11.0,11,1.803692
12.0,12,1.80596
16.0,16,1.809415
19.0,19,1.816791
25.0,25,1.817971
26.0,26,1.824562
19.0,19,1.828
22.0,22,1.830849
12.0,12,1.834789
63.0,63,1.836505
24.0,24,1.838263
15.0,15,1.846666
30.0,30,1.847849
10.0,10,1.852358
50.0,50,1.862969
53.0,53,1.866312
30.0,30,1.869138
39.0,39,1.869762
19.0,19,1.873702
10.0,10,1.875537
11.0,11,1.875581
23.0,23,1.879543
10.0,10,1.881258
26.0,26,1.888603
28.0,28,1.891467
11.0,11,1.897669
16.0,16,1.897715
35.0,35,1.899415
13.0,13,1.905173
45.0,45,1.906931
14.0,14,1.907621
24.0,24,2.172856
20.0,20,2.180737
16.0,16,2.183456
29.0,29,2.184828
10.0,10,2.187514
13.0,13,2.192136
11.0,11,2.192193
40.0,40,2.194891
12.0,12,2.195612
9.0,9,2.198253
25.0,25,2.208818
22.0,22,2.209711
30.0,30,2.218664
34.0,34,2.218732
21.0,21,2.223534
16.0,16,2.229459
16.0,16,2.229521
37.0,37,2.234762
16.0,16,2.240005
10.0,10,2.246504
40.0,40,2.249924
26.0,26,2.251928
20.0,20,2.259736
48.0,48,2.261116
17.0,17,2.261166
10.0,10,2.267652
25.0,25,2.268352
16.0,16,2.270352
20.0,20,2.27447
19.0,19,2.280943
21.0,21,2.281673
15.0,15,2.284498
24.0,24,2.286639
20.0,20,2.295103
16.0,16,2.297123
19.0,19,2.297174
24.0,24,2.297209
12.0,12,2.304759
14.0,14,2.306015
20.0,20,2.308002
29.0,29,2.315093
20.0,20,2.318211
22.0,22,2.321329
17.0,17,2.333027
48.0,48,2.335552
29.0,29,2.33747
12.0,12,2.343104
23.0,23,2.347359
57.0,57,2.351686
28.0,28,2.354792
14.0,14,2.362741
35.0,35,2.363916
28.0,28,2.367894
11.0,11,2.369065
42.0,42,2.372072
15.0,15,2.372707
15.0,15,2.380646
15.0,15,2.38128
35.0,35,2.388128
21.0,21,2.392744
42.0,42,2.393364
25.0,25,2.395659
16.0,16,2.397439
15.0,15,2.401393
12.0,12,2.402582
34.0,34,2.412636
42.0,42,2.421072
49.0,49,2.429399
15.0,15,2.430027
49.0,49,2.430689
8.0,8,2.434159
12.0,12,2.43758
11.0,11,2.440435
53.0,53,2.443271
14.0,14,2.448552
12.0,12,2.455355
37.0,37,2.458894
55.0,55,2.461775
39.0,39,2.46569
21.0,21,2.470757
19.0,19,2.472671
22.0,22,2.478271
15.0,15,2.47956
31.0,31,2.750402
66.0,66,2.75375
33.0,33,2.759682
14.0,14,2.759744
22.0,22,2.768124
55.0,55,2.772719
27.0,27,2.777284
22.0,22,2.787214
33.0,33,2.789884
56.0,56,2.796406
34.0,34,2.799695
32.0,32,2.808151
29.0,29,2.808881
40.0,40,2.825647
30.0,30,2.827687
43.0,43,2.836752
17.0,17,2.836811
23.0,23,2.851913
39.0,39,2.853304
11.0,11,2.8592
40.0,40,2.863154
29.0,29,2.872135
22.0,22,2.87342
26.0,26,2.879546
15.0,15,2.882673
20.0,20,2.884588
142.0,142,2.888269
16.0,16,2.889581
17.0,17,2.895107
25.0,25,2.898159
18.0,18,2.899436
23.0,23,2.903721
13.0,13,2.907482
11.0,11,2.910569
28.0,28,2.912452
10.0,10,2.913737
31.0,31,2.917372
11.0,11,2.919301
14.0,14,2.9224
11.0,11,2.924537
31.0,31,2.9298
18.0,18,2.93326
18.0,18,2.935014
20.0,20,2.941369
14.0,14,2.943088
50.0,50,2.948919
19.0,19,2.954013
37.0,37,2.954645
34.0,34,2.961091
23.0,23,2.962271
26.0,26,2.969076
25.0,25,2.969128
21.0,21,2.973064
26.0,26,2.977005
20.0,20,2.9804
23.0,23,2.982146
12.0,12,2.983905
15.0,15,2.989224
17.0,17,2.99377
21.0,21,2.994442
15.0,15,2.997873
56.0,56,3.005173
15.0,15,3.006348
27.0,27,3.009727
37.0,37,3.014834
16.0,16,3.015459
23.0,23,3.018334
16.0,16,3.018959
11.0,11,3.021264
16.0,16,3.024677
11.0,11,3.025305
17.0,17,3.028173
21.0,21,3.036553
18.0,18,3.038281
30.0,30,3.038328
9.0,9,3.043467
17.0,17,3.04636
37.0,37,3.046409
13.0,13,3.309309
11.0,11,3.316502
34.0,34,3.317236
23.0,23,3.319243
26.0,26,3.321268
13.0,13,3.329742
25.0,25,3.335625
35.0,35,3.340255
20.0,20,3.348856
18.0,18,3.352126
40.0,40,3.356046
63.0,63,3.358065
26.0,26,3.365823
29.0,29,3.371052
32.0,32,3.378888
23.0,23,3.380902
43.0,43,3.384176
22.0,22,3.385545
15.0,15,3.393954
32.0,32,3.401748
31.0,31,3.40586
11.0,11,3.413057
54.0,54,3.414427
32.0,32,3.415144
26.0,26,3.419224
17.0,17,3.42614
21.0,21,3.42755
23.0,23,3.430829
23.0,23,3.434802
13.0,13,3.439094
25.0,25,3.443442
29.0,29,3.444707
12.0,12,3.452259
32.0,32,3.454779
50.0,50,3.469808
32.0,32,3.471732
46.0,46,3.471778
17.0,17,3.482128
20.0,20,3.484044
25.0,25,3.485323
15.0,15,3.493173
69.0,69,3.496775
36.0,36,3.503558
40.0,40,3.519551
15.0,15,3.52809
70.0,70,3.53329
89.0,89,3.536703
19.0,19,3.539002
