AverageEpisodeLength,AveragePolicyProb[0],AveragePolicyProb[1],AverageReturn,Entropy,ExplainedVariance,Iteration,MaxEpisodeLength,MaxReturn,MeanKL,MinEpisodeLength,MinReturn,Objective,Perplexity,StdEpisodeLength,StdReturn,TotalNEpisodes,TotalNSamples,ValueLoss
23.662650602409638,0.49933379888534546,0.5006661415100098,23.662650602409638,0.693145751953125,9.550480985165422e-06,1,53,53.0,0.0007933959132060409,10,10.0,1.3517260413209442e-05,1.9999991655349731,10.445817873512635,10.445817873512635,83,2000,247.71376037597656
23.06,0.4955317974090576,0.5044681429862976,23.06,0.6924631595611572,0.00423731156101681,2,62,62.0,0.0007559533114545047,11,11.0,0.005590076092630625,1.9986329078674316,11.849742613238483,11.849742613238483,168,4000,252.70196533203125
24.23,0.5004372000694275,0.49956274032592773,24.23,0.6904376745223999,-0.0010806407325620881,3,85,85.0,0.0009633428417146206,9,9.0,0.0079723559319973,1.9946033954620361,13.144470320252543,13.144470320252543,250,6000,196.03189086914062
26.32,0.5085420608520508,0.4914579391479492,26.32,0.6874774694442749,0.008281241962941444,4,94,94.0,0.0009792043128982186,11,11.0,0.01098915096372366,1.9887534379959106,14.63139091132487,14.63139091132487,326,8000,225.86485290527344
29.11,0.5092362761497498,0.49076375365257263,29.11,0.6831080317497253,0.0001941855631949485,5,142,142.0,0.0008949337061494589,11,11.0,0.007941152900457382,1.9802165031433105,17.882894061085302,17.882894061085302,393,10000,275.2141418457031
31.25,0.5116671323776245,0.4883328676223755,31.25,0.6789188981056213,0.01094422597790401,6,142,142.0,0.00084473448805511,10,10.0,0.014032240957021713,1.9721324443817139,18.331052888473156,18.331052888473156,457,12000,163.2347869873047
34.71,0.5071746110916138,0.4928254783153534,34.71,0.6732974648475647,0.005576754749363255,7,104,104.0,0.0008204831974580884,10,10.0,0.00812828540802002,1.9613231420516968,19.964115307220602,19.964115307220602,513,14000,250.67996215820312
33.84,0.5129234194755554,0.48707669973373413,33.84,0.6649715900421143,0.04102796580815771,8,104,104.0,0.0009154063300229609,10,10.0,0.0219877902418375,1.9457638263702393,19.288193279827947,19.288193279827947,573,16000,143.56005859375
36.97,0.5044103264808655,0.4955895245075226,36.97,0.6618605256080627,0.059184602996856905,9,103,103.0,0.0009459747816435993,10,10.0,0.017113197594881058,1.9400454759597778,19.563463394808192,19.563463394808192,622,18000,182.1182098388672
39.78,0.49598920345306396,0.504010796546936,39.78,0.649537205696106,0.0562597777392807,10,104,104.0,0.001130343764089048,11,11.0,0.021315447986125946,1.9172344207763672,20.92060228578518,20.92060228578518,675,20000,187.0957794189453
39.74,0.49328795075416565,0.5067121386528015,39.74,0.6468694806098938,0.060831468124510124,11,105,105.0,0.0010050851851701736,12,12.0,0.022751502692699432,1.9126356840133667,21.127527067785287,21.127527067785287,721,22000,202.4469757080078
42.4,0.4914383888244629,0.5085617303848267,42.4,0.6404826045036316,0.08273681488092421,12,105,105.0,0.000842605484649539,13,13.0,0.023421864956617355,1.901409387588501,21.606480509328676,21.606480509328676,768,24000,180.8942413330078
46.17,0.4941328167915344,0.5058672428131104,46.17,0.6390157341957092,0.06108602303121591,13,155,155.0,0.0005160702858120203,13,13.0,0.015308612026274204,1.8985979557037354,23.438880092700675,23.438880092700675,807,26000,296.4261779785156
46.67,0.4832317531108856,0.516768217086792,46.67,0.6250488758087158,0.10963203566883284,14,155,155.0,0.0004845675721298903,16,16.0,0.012837441638112068,1.8738422393798828,22.4468505585973,22.4468505585973,850,28000,188.93768310546875
49.51,0.4851347804069519,0.5148652791976929,49.51,0.6190881133079529,0.12741429479318456,15,116,116.0,0.00043425470357760787,17,17.0,0.012989683076739311,1.8633760213851929,22.63338021595537,22.63338021595537,887,30000,245.66920471191406
48.64,0.4928358793258667,0.5071640610694885,48.64,0.6117308139801025,0.17942073724402352,16,129,129.0,0.0005209163064137101,17,17.0,0.0173483919352293,1.8510380983352661,23.423714479134176,23.423714479134176,928,32000,185.91241455078125
52.75,0.4976472556591034,0.5023527145385742,52.75,0.611821711063385,0.24065919259803326,17,129,129.0,0.0007300981087610126,15,15.0,0.024773627519607544,1.851525068283081,23.473974950996265,23.473974950996265,965,34000,161.7061309814453
53.97,0.513691782951355,0.48630833625793457,53.97,0.6060386300086975,0.22090164671805745,18,136,136.0,0.001028705737553537,15,15.0,0.017426084727048874,1.8413569927215576,23.545893484852087,23.545893484852087,998,36000,281.042236328125
56.57,0.5066341757774353,0.4933657944202423,56.57,0.6024187207221985,0.11622396142615476,19,136,136.0,0.0007403545314446092,15,15.0,0.016553305089473724,1.835259199142456,24.74075787036444,24.74075787036444,1030,38000,342.7649841308594
60.97,0.5036010146141052,0.49639901518821716,60.97,0.5989798903465271,0.3164516939549542,20,225,225.0,0.0006930920644663274,23,23.0,0.021267082542181015,1.8298536539077759,30.232583415910725,30.232583415910725,1062,40000,190.3961944580078
62.63,0.48908916115760803,0.5109108090400696,62.63,0.5897467732429504,0.3036034061425481,21,225,225.0,0.00024802066036500037,17,17.0,0.02403920143842697,1.814401626586914,31.160441267735607,31.160441267735607,1096,42000,207.93226623535156
62.36,0.5042896866798401,0.49571025371551514,62.36,0.588322639465332,0.4612773518144646,22,225,225.0,0.0002840880770236254,17,17.0,0.019476955756545067,1.812187910079956,30.66056750942487,30.66056750942487,1129,44000,132.2161865234375
61.73,0.4929865002632141,0.5070134401321411,61.73,0.590394139289856,0.44110443161093804,23,172,172.0,0.000409074331400916,17,17.0,0.022110261023044586,1.8156414031982422,25.622979920376164,25.622979920376164,1159,46000,166.45867919921875
63.1,0.5077995657920837,0.49220043420791626,63.1,0.5784158110618591,0.4111316507701914,24,172,172.0,0.0005729685071855783,18,18.0,0.033966053277254105,1.796334981918335,28.72994953006357,28.72994953006357,1191,48000,175.25746154785156
67.33,0.49550333619117737,0.504496693611145,67.33,0.5794059634208679,0.5678761797528028,25,160,160.0,0.0005908667808398604,18,18.0,0.027012543752789497,1.7974765300750732,28.781263002168615,28.781263002168615,1216,50000,181.9607391357422
70.03,0.49935466051101685,0.5006452202796936,70.03,0.5792469382286072,0.5875128836440786,26,160,160.0,0.0005684189382009208,18,18.0,0.025039630010724068,1.7972863912582397,28.583021183912663,28.583021183912663,1244,52000,135.4638671875
71.73,0.5072181224822998,0.4927818775177002,71.73,0.5736469030380249,0.6344990072814123,27,151,151.0,0.0005177587154321373,18,18.0,0.038401082158088684,1.7880610227584839,26.618735882832606,26.618735882832606,1269,54000,105.82896423339844
77.89,0.4899580776691437,0.5100420117378235,77.89,0.5690308213233948,0.454178303165484,28,212,212.0,0.0006581259658560157,25,25.0,0.025062672793865204,1.7804476022720337,31.318331692476853,31.318331692476853,1294,56000,295.51898193359375
79.36,0.4971171021461487,0.5028830170631409,79.36,0.5652409791946411,0.5960293436184563,29,212,212.0,0.0006366840680129826,24,24.0,0.02155233547091484,1.7741005420684814,32.867771448639466,32.867771448639466,1317,58000,191.3275146484375
85.3,0.4941200911998749,0.5058799982070923,85.3,0.5725829601287842,0.41676142083047274,30,276,276.0,0.000688067520968616,24,24.0,0.02170487493276596,1.7860734462738037,42.9088568945853,42.9088568945853,1332,60000,463.2325439453125
91.2,0.5026366710662842,0.49736329913139343,91.2,0.5592325329780579,0.43715274230585066,31,336,336.0,0.0011400424409657717,24,24.0,0.030199088156223297,1.7652277946472168,49.72464177849852,49.72464177849852,1353,62000,265.42144775390625
98.37,0.47532710433006287,0.5246726274490356,98.37,0.5675405263900757,0.598214516545968,32,336,336.0,0.0019164368277415633,24,24.0,0.02222142554819584,1.778033971786499,52.81546269796375,52.81546269796375,1368,64000,316.6834716796875
105.91,0.5063064098358154,0.49369359016418457,105.91,0.5570016503334045,0.5329590737027765,33,336,336.0,0.0029123686254024506,24,24.0,0.031680166721343994,1.7618223428726196,56.16886949191696,56.16886949191696,1384,66000,248.58004760742188
113.59,0.5166165232658386,0.4833833575248718,113.59,0.5589423179626465,0.564621793729263,34,336,336.0,0.0022666193544864655,24,24.0,0.014749093912541866,1.7641938924789429,58.65783749849631,58.65783749849631,1395,68000,296.9320373535156
127.63,0.4887946546077728,0.5112053155899048,127.63,0.5596501231193542,0.2812807620494012,35,401,401.0,0.0013808871153742075,38,38.0,0.007971415296196938,1.7649290561676025,68.33412836935875,68.33412836935875,1405,70000,680.0950927734375
136.23,0.49684953689575195,0.5031503438949585,136.23,0.5539641380310059,0.40795139398624325,36,401,401.0,0.0008387851994484663,38,38.0,0.050782568752765656,1.7566121816635132,74.02538145798371,74.02538145798371,1417,72000,498.6593322753906
145.75,0.5017665028572083,0.4982333779335022,145.75,0.5555715560913086,0.5362698815137089,37,401,401.0,0.0007550306036137044,47,47.0,0.011513235047459602,1.7589869499206543,76.75185665506731,76.75185665506731,1427,74000,331.0105285644531
151.5,0.49319377541542053,0.5068061351776123,151.5,0.5534935593605042,0.4006778944973607,38,401,401.0,0.000775046763010323,31,31.0,0.025258895009756088,1.7559382915496826,77.24966019342739,77.24966019342739,1439,76000,371.705322265625
161.02,0.4765152633190155,0.5234847068786621,161.02,0.5588542222976685,0.5574643661148846,39,401,401.0,0.0003495549608487636,31,31.0,0.027385076507925987,1.7643307447433472,74.17425159716814,74.17425159716814,1450,78000,259.2984924316406
166.67,0.4701101779937744,0.5298899412155151,166.67,0.5525692701339722,0.5191413173051903,40,401,401.0,0.00029405593522824347,31,31.0,0.033158060163259506,1.7542505264282227,74.34070957422992,74.34070957422992,1460,80000,261.1175842285156
174.31,0.49493783712387085,0.5050623416900635,174.31,0.5543055534362793,0.4253032562182292,41,401,401.0,0.0005188776412978768,31,31.0,0.02902521751821041,1.7576426267623901,74.66963171196171,74.66963171196171,1472,82000,394.0771484375
183.59,0.5065269470214844,0.4934731125831604,183.59,0.5500608086585999,0.4030428192506962,42,500,500.0,0.0005599721916951239,31,31.0,0.029163001105189323,1.7500966787338257,83.4895316791273,83.4895316791273,1480,84000,505.9264221191406
197.73,0.5075473189353943,0.4924527704715729,197.73,0.5435907244682312,0.2530123058418865,43,500,500.0,0.0006369664915837348,31,31.0,0.026160668581724167,1.7402812242507935,98.34275316463334,98.34275316463334,1485,86000,864.5089111328125
210.32,0.5128402709960938,0.4871598482131958,210.32,0.5471164584159851,0.4821666251685519,44,500,500.0,0.0009088610531762242,31,31.0,0.012660997919738293,1.7452952861785889,107.29593468533653,107.29593468533653,1490,88000,359.2041015625
219.06,0.4824393391609192,0.5175607204437256,219.06,0.5528164505958557,0.33938907396310336,45,500,500.0,0.0005215689889155328,31,31.0,0.02747773565351963,1.754446029663086,114.50552999746344,114.50552999746344,1497,90000,490.1655578613281
224.75,0.4896754026412964,0.5103245377540588,224.75,0.5427417159080505,0.6608287538769873,46,500,500.0,0.0002742393407970667,31,31.0,0.02584269642829895,1.738534927368164,117.32019220918453,117.32019220918453,1502,92000,198.11293029785156
232.4,0.49456122517585754,0.5054388642311096,232.4,0.5498716831207275,0.6064005996105393,47,500,500.0,0.00024391498300246894,31,31.0,0.03243955597281456,1.7502095699310303,120.04832360345563,120.04832360345563,1509,94000,292.5839538574219
241.14,0.4855167865753174,0.5144830346107483,241.14,0.5436806082725525,0.6561916777340634,48,500,500.0,0.0005172217497602105,31,31.0,0.032352373003959656,1.740041971206665,123.67505973315721,123.67505973315721,1514,96000,221.68124389648438
250.39,0.49291378259658813,0.5070862174034119,250.39,0.5409197211265564,0.6236782797312365,49,500,500.0,0.0008388115675188601,31,31.0,0.029758119955658913,1.7356215715408325,127.02022634210664,127.02022634210664,1519,98000,295.40667724609375
264.17,0.49770602583885193,0.5022940635681152,264.17,0.5327519774436951,0.7249236320386159,50,500,500.0,0.0007941091316752136,31,31.0,0.03865620866417885,1.7231340408325195,131.63411829765107,131.63411829765107,1526,100000,282.2490234375
