# {"t_start": 1558865074.390684} 
r,l,t
11.0,11,0.020474
17.0,17,0.023865
19.0,19,0.024971
14.0,14,0.031484
33.0,33,0.032602
25.0,25,0.038636
38.0,38,0.041282
22.0,22,0.044435
21.0,21,0.04965
11.0,11,0.050269
37.0,37,0.051362
13.0,13,0.056429
31.0,31,0.057513
22.0,22,0.062846
15.0,15,0.06546
32.0,32,0.06706
11.0,11,0.06867
17.0,17,0.074534
18.0,18,0.078148
24.0,24,0.079785
49.0,49,0.082434
11.0,11,0.088119
19.0,19,0.08817
18.0,18,0.089223
12.0,12,0.094566
12.0,12,0.095658
17.0,17,0.097247
49.0,49,0.10121
12.0,12,0.1018
11.0,11,0.103986
10.0,10,0.107545
10.0,10,0.109915
31.0,31,0.113812
22.0,22,0.113867
20.0,20,0.11887
12.0,12,0.120636
26.0,26,0.124321
20.0,20,0.124925
10.0,10,0.126021
10.0,10,0.129621
11.0,11,0.130774
24.0,24,0.131883
16.0,16,0.138275
32.0,32,0.142887
16.0,16,0.146648
35.0,35,0.149287
34.0,34,0.149888
15.0,15,0.150971
17.0,17,0.158662
24.0,24,0.161764
24.0,24,0.163379
33.0,33,0.163951
10.0,10,0.168975
25.0,25,0.172104
20.0,20,0.174692
10.0,10,0.181498
21.0,21,0.184628
30.0,30,0.186213
51.0,51,0.190759
18.0,18,0.191456
14.0,14,0.199023
24.0,24,0.199622
24.0,24,0.203943
10.0,10,0.204546
11.0,11,0.205632
45.0,45,0.209505
12.0,12,0.210777
12.0,12,0.214237
19.0,19,0.217759
11.0,11,0.21837
22.0,22,0.225122
14.0,14,0.225716
15.0,15,0.225755
25.0,25,0.228365
15.0,15,0.233572
14.0,14,0.235683
25.0,25,0.238285
12.0,12,0.239904
32.0,32,0.242661
12.0,12,0.246308
23.0,23,0.250691
31.0,31,0.252385
21.0,21,0.254058
17.0,17,0.25565
10.0,10,0.259263
13.0,13,0.259306
18.0,18,0.260386
26.0,26,0.269132
18.0,18,0.269761
21.0,21,0.270365
27.0,27,0.273523
19.0,19,0.279674
22.0,22,0.281765
30.0,30,0.284984
12.0,12,0.286343
25.0,25,0.286957
18.0,18,0.959917
10.0,10,0.959994
30.0,30,0.97142
42.0,42,0.980347
17.0,17,0.981633
11.0,11,0.988361
48.0,48,0.98965
16.0,16,0.9903
59.0,59,0.996307
18.0,18,0.999372
16.0,16,1.00002
23.0,23,1.003811
17.0,17,1.006909
17.0,17,1.00998
16.0,16,1.013658
26.0,26,1.016084
28.0,28,1.024008
26.0,26,1.025883
10.0,10,1.032178
39.0,39,1.040509
14.0,14,1.041174
34.0,34,1.04561
53.0,53,1.046943
16.0,16,1.050545
19.0,19,1.053064
13.0,13,1.053765
20.0,20,1.059456
15.0,15,1.062685
32.0,32,1.072416
18.0,18,1.072481
21.0,21,1.077475
13.0,13,1.080708
42.0,42,1.081943
20.0,20,1.085131
11.0,11,1.08755
28.0,28,1.094844
23.0,23,1.096136
20.0,20,1.097386
18.0,18,1.098659
11.0,11,1.104288
16.0,16,1.106201
25.0,25,1.115061
39.0,39,1.120199
28.0,28,1.122741
25.0,25,1.122793
9.0,9,1.128266
14.0,14,1.130908
31.0,31,1.133644
24.0,24,1.134376
11.0,11,1.137043
26.0,26,1.143216
18.0,18,1.14437
18.0,18,1.145
17.0,17,1.14729
12.0,12,1.151327
19.0,19,1.154001
17.0,17,1.154613
19.0,19,1.158059
14.0,14,1.159304
18.0,18,1.164734
15.0,15,1.166444
23.0,23,1.167075
22.0,22,1.171467
13.0,13,1.172054
15.0,15,1.175484
21.0,21,1.178229
13.0,13,1.178837
18.0,18,1.182322
17.0,17,1.188387
23.0,23,1.188438
22.0,22,1.191022
14.0,14,1.198753
32.0,32,1.20045
23.0,23,1.201609
25.0,25,1.202852
11.0,11,1.209652
16.0,16,1.210345
20.0,20,1.21106
18.0,18,1.212977
12.0,12,1.217743
17.0,17,1.220988
9.0,9,1.225963
29.0,29,1.226576
32.0,32,1.231056
9.0,9,1.231674
30.0,30,1.234412
9.0,9,1.236076
21.0,21,1.237744
12.0,12,1.241118
13.0,13,1.243596
12.0,12,1.248858
19.0,19,1.249449
33.0,33,1.251424
21.0,21,1.256731
14.0,14,1.257334
19.0,19,1.471643
18.0,18,1.473073
13.0,13,1.476315
19.0,19,1.485263
14.0,14,1.485327
30.0,30,1.486665
23.0,23,1.486719
11.0,11,1.493846
14.0,14,1.494557
24.0,24,1.501041
23.0,23,1.501778
13.0,13,1.502483
22.0,22,1.509615
28.0,28,1.521306
20.0,20,1.522655
13.0,13,1.529606
15.0,15,1.532282
50.0,50,1.534228
74.0,74,1.550124
30.0,30,1.553434
36.0,36,1.555694
11.0,11,1.557699
57.0,57,1.566685
17.0,17,1.566752
15.0,15,1.567431
26.0,26,1.570988
11.0,11,1.57424
11.0,11,1.574952
14.0,14,1.576285
16.0,16,1.584718
26.0,26,1.58797
22.0,22,1.590579
24.0,24,1.590633
16.0,16,1.595096
17.0,17,1.601295
10.0,10,1.60135
17.0,17,1.601377
29.0,29,1.606514
10.0,10,1.608054
13.0,13,1.610872
19.0,19,1.615513
19.0,19,1.623544
23.0,23,1.624203
28.0,28,1.632864
18.0,18,1.634787
31.0,31,1.643244
21.0,21,1.64745
65.0,65,1.648728
30.0,30,1.651179
19.0,19,1.654834
11.0,11,1.655489
13.0,13,1.662842
28.0,28,1.664569
23.0,23,1.665187
16.0,16,1.665224
14.0,14,1.671073
17.0,17,1.675087
19.0,19,1.676232
21.0,21,1.676826
18.0,18,1.681178
16.0,16,1.684071
13.0,13,1.688434
24.0,24,1.689542
26.0,26,1.691902
14.0,14,1.699889
18.0,18,1.70049
22.0,22,1.701602
9.0,9,1.7054
11.0,11,1.705994
22.0,22,1.717779
26.0,26,1.720766
35.0,35,1.721356
25.0,25,1.731935
21.0,21,1.732586
22.0,22,1.733724
9.0,9,1.737
21.0,21,1.745343
15.0,15,1.745392
111.0,111,1.747055
11.0,11,1.753655
39.0,39,1.754821
22.0,22,1.75832
28.0,28,1.762416
9.0,9,1.764174
21.0,21,1.767694
25.0,25,1.768888
14.0,14,1.770661
24.0,24,1.778071
18.0,18,1.988544
40.0,40,2.000706
19.0,19,2.000771
46.0,46,2.00337
16.0,16,2.011202
47.0,47,2.015845
27.0,27,2.018559
20.0,20,2.028806
18.0,18,2.030169
47.0,47,2.03404
21.0,21,2.042385
17.0,17,2.045048
54.0,54,2.046399
30.0,30,2.049647
17.0,17,2.061258
28.0,28,2.065218
34.0,34,2.06792
17.0,17,2.073062
12.0,12,2.073857
53.0,53,2.078433
13.0,13,2.08173
19.0,19,2.086285
18.0,18,2.097813
54.0,54,2.103794
40.0,40,2.104534
37.0,37,2.105858
15.0,15,2.107909
19.0,19,2.120825
36.0,36,2.127928
46.0,46,2.134913
51.0,51,2.139156
24.0,24,2.153611
68.0,68,2.162614
60.0,60,2.164466
59.0,59,2.170623
31.0,31,2.1725
23.0,23,2.177122
11.0,11,2.177727
29.0,29,2.182322
20.0,20,2.184568
17.0,17,2.186764
16.0,16,2.18681
16.0,16,2.191527
22.0,22,2.200064
32.0,32,2.204248
11.0,11,2.210931
49.0,49,2.21659
14.0,14,2.218764
34.0,34,2.220445
52.0,52,2.222964
15.0,15,2.22523
26.0,26,2.23344
21.0,21,2.234563
22.0,22,2.2373
31.0,31,2.23794
11.0,11,2.239743
14.0,14,2.247769
30.0,30,2.251591
38.0,38,2.2595
39.0,39,2.259559
21.0,21,2.263987
12.0,12,2.267192
19.0,19,2.27118
14.0,14,2.272388
11.0,11,2.273812
12.0,12,2.278841
60.0,60,2.283458
15.0,15,2.287329
27.0,27,2.289825
23.0,23,2.296497
18.0,18,2.297638
17.0,17,2.505772
20.0,20,2.518823
68.0,68,2.520191
34.0,34,2.524747
43.0,43,2.532131
20.0,20,2.533521
28.0,28,2.537466
14.0,14,2.541302
39.0,39,2.550292
13.0,13,2.558528
29.0,29,2.559843
48.0,48,2.568078
56.0,56,2.569445
21.0,21,2.573259
