AverageEpisodeLength,AveragePolicyProb[0],AveragePolicyProb[1],AverageReturn,Entropy,ExplainedVariance,Iteration,MaxEpisodeLength,MaxReturn,MeanKL,MinEpisodeLength,MinReturn,Objective,Perplexity,StdEpisodeLength,StdReturn,TotalNEpisodes,TotalNSamples,ValueLoss
18.26,0.4992850124835968,0.5007150173187256,18.26,0.6931455731391907,2.103698168565149e-05,1,56,56.0,0.0012669715797528625,7,7.0,-5.526477252715267e-05,1.9999988079071045,9.187622108032087,9.187622108032087,105,2000,186.7807159423828
19.16,0.5065580606460571,0.49344202876091003,19.16,0.6919953227043152,0.001840364594549393,2,82,82.0,0.0011686988873407245,7,7.0,0.0033902304712682962,1.9977000951766968,11.370769542999277,11.370769542999277,210,4000,204.83229064941406
19.88,0.5107072591781616,0.4892927408218384,19.88,0.6886370778083801,0.0012102439477529314,3,74,74.0,0.0013339202851057053,8,8.0,0.009851440787315369,1.9910377264022827,11.509370095708974,11.509370095708974,312,6000,171.7193145751953
20.11,0.5114905834197998,0.48850956559181213,20.11,0.6829528212547302,0.005381729376375377,4,51,51.0,0.0014025084674358368,6,6.0,0.005462024360895157,1.9799097776412964,9.793768426913104,9.793768426913104,409,8000,101.94824981689453
24.57,0.5054351687431335,0.49456506967544556,24.57,0.6774389147758484,0.006030268579661602,5,78,78.0,0.0013171539176255465,7,7.0,0.00917494110763073,1.9693132638931274,14.561768436560168,14.561768436560168,488,10000,151.3289794921875
24.49,0.5123993158340454,0.4876006543636322,24.49,0.6691875457763672,0.022694468410776714,6,81,81.0,0.001261774217709899,7,7.0,0.001992755336686969,1.9536992311477661,14.143899745119802,14.143899745119802,570,12000,125.83638000488281
24.57,0.50779789686203,0.4922022223472595,24.57,0.6585357785224915,0.04824534800726077,7,89,89.0,0.0013084044912829995,7,7.0,0.005392081569880247,1.9338816404342651,14.214960429069087,14.214960429069087,654,14000,109.5583724975586
28.07,0.5037648677825928,0.4962351322174072,28.07,0.6506344676017761,0.07593741227982609,8,84,84.0,0.0012592679122462869,9,9.0,0.010461971163749695,1.9193766117095947,16.841766534422685,16.841766534422685,720,16000,152.3717803955078
29.56,0.5058931708335876,0.4941067695617676,29.56,0.6411405205726624,0.04615597277747374,9,96,96.0,0.0012633221922442317,9,9.0,0.018040422350168228,1.9022136926651,17.859070524526185,17.859070524526185,787,18000,171.65589904785156
33.29,0.4997195899486542,0.5002804398536682,33.29,0.6337740421295166,0.0747427954300861,10,110,110.0,0.001233964809216559,11,11.0,0.035075560212135315,1.889649748802185,19.600150509626193,19.600150509626193,841,20000,175.05137634277344
35.1,0.5014603734016418,0.49853965640068054,35.1,0.6210196018218994,0.07923241962602845,11,110,110.0,0.0010962698142975569,9,9.0,0.01936652697622776,1.8671945333480835,20.638556151048938,20.638556151048938,900,22000,164.5428924560547
33.07,0.48645728826522827,0.513542890548706,33.07,0.6046950817108154,0.08809598642809424,12,104,104.0,0.0011700009927153587,9,9.0,0.029707645997405052,1.8387296199798584,17.799019635923774,17.799019635923774,960,24000,146.7776641845703
