# {"t_start": 1558272400.1933289} 
r,l,t
7.0,7,0.024577
11.0,11,0.029603
16.0,16,0.033678
10.0,10,0.041233
22.0,22,0.043945
18.0,18,0.044006
7.0,7,0.051699
13.0,13,0.05435
46.0,46,0.058774
20.0,20,0.06237
13.0,13,0.064685
17.0,17,0.065452
12.0,12,0.0685
11.0,11,0.072196
15.0,15,0.075233
26.0,26,0.080602
22.0,22,0.08345
13.0,13,0.08406
24.0,24,0.088144
9.0,9,0.089338
16.0,16,0.090468
13.0,13,0.092111
8.0,8,0.092701
15.0,15,0.098253
12.0,12,0.099394
18.0,18,0.101039
19.0,19,0.104545
11.0,11,0.105238
13.0,13,0.10923
10.0,10,0.110631
13.0,13,0.113127
8.0,8,0.114355
13.0,13,0.11842
33.0,33,0.120066
16.0,16,0.124485
14.0,14,0.128972
25.0,25,0.12903
20.0,20,0.1313
9.0,9,0.134013
17.0,17,0.134646
13.0,13,0.136921
16.0,16,0.141217
12.0,12,0.141828
10.0,10,0.143119
13.0,13,0.149365
21.0,21,0.154057
18.0,18,0.154118
33.0,33,0.155569
10.0,10,0.161685
14.0,14,0.162826
28.0,28,0.166533
15.0,15,0.171922
21.0,21,0.174311
8.0,8,0.177168
18.0,18,0.178318
42.0,42,0.179967
14.0,14,0.182706
14.0,14,0.188445
19.0,19,0.194537
15.0,15,0.197226
33.0,33,0.197821
12.0,12,0.201699
11.0,11,0.204674
48.0,48,0.205897
11.0,11,0.211288
10.0,10,0.211933
25.0,25,0.212553
12.0,12,0.22091
16.0,16,0.223873
38.0,38,0.226676
26.0,26,0.228948
9.0,9,0.231668
20.0,20,0.233207
18.0,18,0.235042
15.0,15,0.238232
11.0,11,0.240056
11.0,11,0.242267
9.0,9,0.245558
26.0,26,0.247883
17.0,17,0.24853
13.0,13,0.256938
16.0,16,0.258709
21.0,21,0.259548
34.0,34,0.26357
12.0,12,0.266568
19.0,19,0.269653
18.0,18,0.270896
21.0,21,0.28024
13.0,13,0.282021
