AverageEpisodeLength,AveragePolicyProb[0],AveragePolicyProb[1],AverageReturn,Entropy,ExplainedVariance,Iteration,MaxEpisodeLength,MaxReturn,MeanKL,MinEpisodeLength,MinReturn,Objective,Perplexity,StdEpisodeLength,StdReturn,TotalNEpisodes,TotalNSamples,ValueLoss
15.87,0.49927812814712524,0.5007218718528748,15.87,0.6931455731391907,0.00015669545370777804,1,49,49.0,0.001689924276433885,6,6.0,2.3965299988049082e-05,1.999998927116394,7.715769566284364,7.715769566284364,125,2000,139.45614624023438
17.87,0.49528825283050537,0.5047117471694946,17.87,0.6916415691375732,0.0026985301293880326,2,47,47.0,0.0016592239262536168,6,6.0,0.0035511162132024765,1.9969955682754517,9.300166665173265,9.300166665173265,236,4000,152.50828552246094
17.67,0.49863487482070923,0.5013651251792908,17.67,0.6870797872543335,0.004233271749146117,3,79,79.0,0.0018924173200502992,6,6.0,0.0070812879130244255,1.9879765510559082,9.4963729918322,9.4963729918322,351,6000,123.51298522949219
16.43,0.506335973739624,0.4936639666557312,16.43,0.6794075965881348,0.010454438193165605,4,68,68.0,0.0021033205557614565,5,5.0,0.008610274642705917,1.973010540008545,9.710051493169333,9.710051493169333,466,8000,92.53016662597656
18.1,0.5112005472183228,0.48879948258399963,18.1,0.6679236888885498,0.021123738630644984,5,88,88.0,0.0021532480604946613,6,6.0,0.00024144983035512269,1.951206088066101,11.063905277974863,11.063905277974863,576,10000,95.30448913574219
20.92,0.516560435295105,0.4834398329257965,20.92,0.6563847064971924,0.03331741921018583,6,80,80.0,0.00199833232909441,7,7.0,0.015379631891846657,1.929736614227295,11.80989415701936,11.80989415701936,670,12000,98.55887603759766
23.17,0.5065313577651978,0.49346858263015747,23.17,0.6452386379241943,0.04482432390156843,7,77,77.0,0.0018279901705682278,7,7.0,0.010015574283897877,1.9095282554626465,14.051373598335502,14.051373598335502,755,14000,117.36724853515625
25.75,0.5092865228652954,0.49071359634399414,25.75,0.6321360468864441,0.06075834014014925,8,82,82.0,0.0015954492846503854,7,7.0,0.005807211622595787,1.8869019746780396,16.967247861689295,16.967247861689295,830,16000,160.52528381347656
25.91,0.5034621953964233,0.49653780460357666,25.91,0.6148160696029663,0.10088625964555142,9,79,79.0,0.0016302665462717414,7,7.0,0.009883341379463673,1.8565860986709595,15.861333487446762,15.861333487446762,908,18000,110.34955596923828
27.25,0.5160150527954102,0.48398473858833313,27.25,0.5979769825935364,0.09308409850911015,10,96,96.0,0.0016438608290627599,7,7.0,0.03124741092324257,1.8282430171966553,17.59680368703362,17.59680368703362,976,20000,163.99044799804688
24.5,0.5033318996429443,0.49666813015937805,24.5,0.5800595879554749,0.10674468034636087,11,83,83.0,0.0015014730161055923,6,6.0,0.0074097225442528725,1.7998425960540771,15.259423318068084,15.259423318068084,1056,22000,129.78187561035156
26.5,0.48785120248794556,0.5121486783027649,26.5,0.5607085824012756,0.16479186930047807,12,79,79.0,0.001475707278586924,7,7.0,0.030510690063238144,1.7683672904968262,15.37888162383728,15.37888162383728,1132,24000,93.25151062011719
26.11,0.4645099341869354,0.5354902148246765,26.11,0.5561065673828125,0.10900132332928947,13,64,64.0,0.001354397158138454,8,8.0,0.018256623297929764,1.7607998847961426,12.73098189457514,12.73098189457514,1202,26000,105.83230590820312
32.08,0.4630039930343628,0.5369960069656372,32.08,0.5364527106285095,0.10922985025499177,14,115,115.0,0.0013075005263090134,9,9.0,0.02538471855223179,1.7299460172653198,19.90863129398905,19.90863129398905,1257,28000,173.27073669433594
34.69,0.5100373029708862,0.48996275663375854,34.69,0.49670401215553284,0.09101990432386042,15,116,116.0,0.0009100368479266763,8,8.0,0.022014176473021507,1.6678123474121094,21.544695402813193,21.544695402813193,1316,30000,205.80931091308594
34.2,0.483927458524704,0.5160726308822632,34.2,0.502342939376831,0.11073012472415245,16,116,116.0,0.0008595813415013254,8,8.0,0.05251145735383034,1.6775778532028198,21.352283250275597,21.352283250275597,1375,32000,169.24563598632812
32.7,0.4940151274204254,0.505984902381897,32.7,0.484950989484787,0.133069442101858,17,96,96.0,0.0007636073278263211,8,8.0,0.04069438576698303,1.6513854265213013,18.16947990449919,18.16947990449919,1436,34000,151.00294494628906
35.94,0.49051710963249207,0.5094828605651855,35.94,0.48456650972366333,0.11261618820622865,18,96,96.0,0.0006005882751196623,8,8.0,0.032815080136060715,1.6505910158157349,19.42617821394625,19.42617821394625,1485,36000,178.82273864746094
38.62,0.5224089026451111,0.47759103775024414,38.62,0.45696088671684265,0.1434203178002742,19,114,114.0,0.0006141072954051197,9,9.0,0.01607418619096279,1.610624074935913,21.74386350214699,21.74386350214699,1540,38000,178.323974609375
42.36,0.5234096050262451,0.4765905737876892,42.36,0.44777554273605347,0.1404089815658789,20,141,141.0,0.0005848942091688514,9,9.0,0.023516643792390823,1.596753716468811,27.145725262000276,27.145725262000276,1581,40000,317.2677917480469
45.24,0.5089384913444519,0.49106162786483765,45.24,0.4364779591560364,0.16460125857800523,21,141,141.0,0.0005321719800122082,9,9.0,0.034127503633499146,1.5805398225784302,26.42427671668612,26.42427671668612,1627,42000,190.36557006835938
41.43,0.501808226108551,0.49819186329841614,41.43,0.44930335879325867,0.17757480169653594,22,111,111.0,0.00043587974505499005,7,7.0,0.016934754326939583,1.6003062725067139,21.87978747611594,21.87978747611594,1679,44000,158.8145294189453
42.04,0.506625771522522,0.49337413907051086,42.04,0.41545915603637695,0.10803795905682356,23,141,141.0,0.0005807077395729721,7,7.0,0.027879513800144196,1.550965666770935,23.906869305703747,23.906869305703747,1720,46000,310.67828369140625
41.65,0.485342413187027,0.514657735824585,41.65,0.39509016275405884,0.1692619233921212,24,141,141.0,0.0005574041861109436,10,10.0,0.014941914938390255,1.522199273109436,24.990548213274554,24.990548213274554,1774,48000,189.44183349609375
36.43,0.506771445274353,0.49322864413261414,36.43,0.39670947194099426,0.23604301072946576,25,101,101.0,0.000524177448824048,8,8.0,0.01616976037621498,1.5247305631637573,19.92498682559163,19.92498682559163,1828,50000,137.33714294433594
36.44,0.522886335849762,0.4771135449409485,36.44,0.3840946555137634,0.22781341965663204,26,99,99.0,0.0002985933388117701,8,8.0,0.020061790943145752,1.5068447589874268,20.641860381273776,20.641860381273776,1882,52000,140.57933044433594
40.07,0.49878376722335815,0.5012162327766418,40.07,0.37901949882507324,0.21463076463614195,27,107,107.0,0.00017108255997300148,8,8.0,0.029252341017127037,1.500744104385376,22.839113380339437,22.839113380339437,1928,54000,174.47085571289062
41.55,0.482047975063324,0.5179519653320312,41.55,0.3613741397857666,0.2352789469723503,28,107,107.0,0.00016512353613507003,9,9.0,0.01462198793888092,1.4751380681991577,23.994322245064563,23.994322245064563,1976,56000,162.94932556152344
39.21,0.5031766295433044,0.49682343006134033,39.21,0.35665902495384216,0.23140222326824667,29,108,108.0,0.0001611513871466741,9,9.0,0.016058921813964844,1.4688061475753784,22.66816931293747,22.66816931293747,2031,58000,174.19354248046875
43.02,0.49462515115737915,0.5053746104240417,43.02,0.3563973903656006,0.16219822591937616,30,175,175.0,9.947137004928663e-05,8,8.0,0.0094298105686903,1.4675076007843018,29.461832936869357,29.461832936869357,2070,60000,392.0065612792969
