# {"t_start": 1558369994.928986} 
r,l,t
9.0,9,0.020448
12.0,12,0.022168
18.0,18,0.025428
11.0,11,0.026822
13.0,13,0.029737
31.0,31,0.033004
16.0,16,0.034696
16.0,16,0.035956
14.0,14,0.038179
9.0,9,0.038786
6.0,6,0.041977
10.0,10,0.043729
16.0,16,0.045455
9.0,9,0.048664
11.0,11,0.051393
18.0,18,0.052052
8.0,8,0.05324
7.0,7,0.056028
13.0,13,0.058726
13.0,13,0.064278
50.0,50,0.064336
10.0,10,0.065465
21.0,21,0.066079
8.0,8,0.068973
11.0,11,0.072625
11.0,11,0.073288
6.0,6,0.076116
12.0,12,0.076727
9.0,9,0.078657
11.0,11,0.083
14.0,14,0.0845
10.0,10,0.084553
9.0,9,0.089836
12.0,12,0.090482
49.0,49,0.093952
16.0,16,0.094006
8.0,8,0.09513
10.0,10,0.099411
17.0,17,0.103278
25.0,25,0.103876
8.0,8,0.103917
8.0,8,0.108428
27.0,27,0.110079
13.0,13,0.111248
7.0,7,0.11237
22.0,22,0.115975
8.0,8,0.117164
19.0,19,0.12106
17.0,17,0.121113
10.0,10,0.121689
13.0,13,0.124592
14.0,14,0.128867
22.0,22,0.133276
13.0,13,0.13615
23.0,23,0.137279
30.0,30,0.138391
14.0,14,0.141164
9.0,9,0.142304
11.0,11,0.142349
6.0,6,0.145694
14.0,14,0.146454
18.0,18,0.151651
16.0,16,0.151708
19.0,19,0.156977
23.0,23,0.15994
15.0,15,0.160551
16.0,16,0.161144
9.0,9,0.165487
12.0,12,0.167644
19.0,19,0.167689
10.0,10,0.173112
28.0,28,0.175336
8.0,8,0.179849
15.0,15,0.181512
27.0,27,0.182662
36.0,36,0.185419
10.0,10,0.185467
11.0,11,0.190389
21.0,21,0.194728
16.0,16,0.195925
10.0,10,0.200464
9.0,9,0.201058
30.0,30,0.203883
26.0,26,0.205162
9.0,9,0.206346
10.0,10,0.209549
8.0,8,0.210722
16.0,16,0.214063
12.0,12,0.217425
17.0,17,0.219181
33.0,33,0.21923
13.0,13,0.221552
13.0,13,0.228952
18.0,18,0.229548
24.0,24,0.232731
9.0,9,0.23779
36.0,36,0.237846
19.0,19,0.239527
20.0,20,0.240675
7.0,7,0.241781
12.0,12,0.244654
14.0,14,0.248487
11.0,11,0.250788
20.0,20,0.250837
18.0,18,0.25205
15.0,15,0.25682
16.0,16,0.260855
12.0,12,0.263532
24.0,24,0.264138
24.0,24,0.264177
9.0,9,0.265848
11.0,11,0.270331
12.0,12,0.270384
8.0,8,0.274673
15.0,15,0.278729
7.0,7,0.278786
23.0,23,0.278813
27.0,27,0.279406
7.0,7,0.283378
18.0,18,0.289454
19.0,19,0.29006
16.0,16,0.292952
9.0,9,0.294593
29.0,29,0.2957
16.0,16,0.301739
20.0,20,1.579043
26.0,26,1.584283
38.0,38,1.586128
25.0,25,1.592826
15.0,15,1.596006
29.0,29,1.601292
13.0,13,1.602644
13.0,13,1.607511
12.0,12,1.610602
13.0,13,1.612768
36.0,36,1.614711
15.0,15,1.617953
18.0,18,1.624123
15.0,15,1.625411
12.0,12,1.626799
21.0,21,1.628186
12.0,12,1.636717
16.0,16,1.636787
25.0,25,1.644124
39.0,39,1.65079
10.0,10,1.650857
22.0,22,1.651692
10.0,10,1.659065
41.0,41,1.665201
14.0,14,1.668519
25.0,25,1.668578
8.0,8,1.670786
29.0,29,1.672342
10.0,10,1.678408
11.0,11,1.679748
17.0,17,1.68106
9.0,9,1.687008
21.0,21,1.69318
34.0,34,1.693248
10.0,10,1.699942
20.0,20,1.701283
8.0,8,1.706013
11.0,11,1.709235
43.0,43,1.709929
29.0,29,1.713186
7.0,7,1.714569
12.0,12,1.721157
26.0,26,1.723751
19.0,19,1.727507
29.0,29,1.728767
13.0,13,1.730146
9.0,9,1.733406
6.0,6,1.734098
15.0,15,1.73921
7.0,7,1.743144
35.0,35,1.745874
23.0,23,1.747553
23.0,23,1.748217
12.0,12,1.749969
10.0,10,1.75177
10.0,10,1.754987
17.0,17,1.758633
13.0,13,1.758689
11.0,11,1.759306
8.0,8,1.763358
16.0,16,1.768632
27.0,27,1.771945
24.0,24,1.77383
7.0,7,1.777784
31.0,31,1.782361
23.0,23,1.785344
28.0,28,1.786049
9.0,9,1.792061
30.0,30,1.796606
24.0,24,1.797768
23.0,23,1.800684
15.0,15,1.800735
7.0,7,1.805803
18.0,18,1.808127
20.0,20,1.810369
11.0,11,1.812044
15.0,15,1.81686
11.0,11,1.818516
31.0,31,1.81976
17.0,17,1.820524
10.0,10,1.823878
10.0,10,1.827201
11.0,11,1.833428
17.0,17,1.833486
13.0,13,1.841887
37.0,37,1.843029
15.0,15,1.843073
41.0,41,1.844188
8.0,8,1.848815
12.0,12,1.848872
20.0,20,1.855476
10.0,10,1.855536
7.0,7,1.859327
29.0,29,1.860471
16.0,16,1.869782
27.0,27,1.872036
27.0,27,1.875908
47.0,47,1.877681
8.0,8,1.880621
10.0,10,1.883533
21.0,21,1.884141
23.0,23,1.884183
13.0,13,1.889521
10.0,10,1.890681
13.0,13,1.89292
8.0,8,1.894077
17.0,17,1.895234
15.0,15,1.899496
18.0,18,1.905364
10.0,10,1.906069
17.0,17,1.906111
25.0,25,2.129772
9.0,9,2.133151
15.0,15,2.137155
17.0,17,2.137955
8.0,8,2.138718
12.0,12,2.145344
17.0,17,2.150271
27.0,27,2.156196
16.0,16,2.156263
41.0,41,2.157617
6.0,6,2.160257
8.0,8,2.161647
20.0,20,2.163746
9.0,9,2.166364
8.0,8,2.167104
20.0,20,2.171157
13.0,13,2.17513
17.0,17,2.175186
14.0,14,2.176541
10.0,10,2.177938
11.0,11,2.18383
14.0,14,2.184564
16.0,16,2.188622
22.0,22,2.190011
11.0,11,2.191358
18.0,18,2.196639
12.0,12,2.199387
22.0,22,2.203431
25.0,25,2.206776
14.0,14,2.208788
23.0,23,2.212129
11.0,11,2.216091
20.0,20,2.220098
13.0,13,2.220814
30.0,30,2.22348
15.0,15,2.226295
14.0,14,2.229829
15.0,15,2.231218
11.0,11,2.237241
21.0,21,2.237996
20.0,20,2.240276
14.0,14,2.241177
10.0,10,2.24472
14.0,14,2.250707
16.0,16,2.251434
24.0,24,2.254573
11.0,11,2.261516
26.0,26,2.261575
21.0,21,2.264637
13.0,13,2.269646
14.0,14,2.270372
35.0,35,2.272888
21.0,21,2.278079
12.0,12,2.280607
9.0,9,2.283803
23.0,23,2.2851
11.0,11,2.287596
29.0,29,2.28831
8.0,8,2.290297
15.0,15,2.293413
12.0,12,2.295904
20.0,20,2.300273
13.0,13,2.301557
10.0,10,2.302239
12.0,12,2.307908
17.0,17,2.312435
15.0,15,2.316537
26.0,26,2.317175
6.0,6,2.320581
54.0,54,2.323094
24.0,24,2.326493
14.0,14,2.329098
21.0,21,2.329154
11.0,11,2.329859
12.0,12,2.333901
14.0,14,2.337996
22.0,22,2.342023
25.0,25,2.343769
19.0,19,2.348981
16.0,16,2.351733
14.0,14,2.352369
34.0,34,2.354361
10.0,10,2.35553
12.0,12,2.359482
9.0,9,2.359534
15.0,15,2.364132
24.0,24,2.365924
11.0,11,2.365973
17.0,17,2.373915
15.0,15,2.374538
19.0,19,2.377065
33.0,33,2.378842
14.0,14,2.382245
14.0,14,2.382867
18.0,18,2.388309
28.0,28,2.396865
27.0,27,2.400301
20.0,20,2.401064
9.0,9,2.405645
16.0,16,2.406276
18.0,18,2.411677
13.0,13,2.413427
14.0,14,2.41462
7.0,7,2.41767
13.0,13,2.419404
22.0,22,2.427532
18.0,18,2.428169
79.0,79,2.430578
22.0,22,2.432391
8.0,8,2.433091
11.0,11,2.438821
14.0,14,2.438877
13.0,13,2.44084
27.0,27,2.443688
8.0,8,2.443739
19.0,19,2.664695
25.0,25,2.672016
34.0,34,2.677953
46.0,46,2.680845
14.0,14,2.68158
