AverageEpisodeLength,AveragePolicyProb[0],AveragePolicyProb[1],AverageReturn,Entropy,ExplainedVariance,Iteration,MaxEpisodeLength,MaxReturn,MeanKL,MinEpisodeLength,MinReturn,Objective,Perplexity,StdEpisodeLength,StdReturn,TotalNEpisodes,TotalNSamples,ValueLoss
22.6046511627907,0.49933356046676636,0.5006664395332336,22.6046511627907,0.693145751953125,5.664186631448853e-05,1,67,67.0,0.0008487129816785455,9,9.0,2.2467196686193347e-05,1.9999991655349731,11.753553712742056,11.753553712742056,86,2000,261.41717529296875
24.63,0.49538442492485046,0.5046156048774719,24.63,0.6923819184303284,0.0028929753927016133,2,90,90.0,0.0008433213224634528,7,7.0,0.004568223375827074,1.9984713792800903,14.844295200513901,14.844295200513901,163,4000,368.45245361328125
23.66,0.4960916042327881,0.5039083361625671,23.66,0.6898866295814514,0.0024151466644709574,3,93,93.0,0.001041872426867485,9,9.0,0.010790593922138214,1.993511438369751,15.916167880491837,15.916167880491837,248,6000,250.52928161621094
25.77,0.5023812055587769,0.4976188838481903,25.77,0.6863436698913574,0.015146116812735588,4,77,77.0,0.0011471505276858807,8,8.0,0.010873778723180294,1.9865373373031616,14.62795611150102,14.62795611150102,323,8000,200.11524963378906
25.08,0.5143089890480042,0.48569098114967346,25.08,0.6816827058792114,0.017067287667554942,5,69,69.0,0.0011116990353912115,8,8.0,0.007254181895405054,1.9774290323257446,13.035858237952729,13.035858237952729,404,10000,125.56890869140625
28.32,0.5066066980361938,0.4933932423591614,28.32,0.6782238483428955,0.00215078134417368,6,110,110.0,0.000830797478556633,9,9.0,0.009520451538264751,1.9708166122436523,18.236710229643943,18.236710229643943,469,12000,239.9372100830078
31.88,0.5075846910476685,0.49241533875465393,31.88,0.6725321412086487,0.010488864650884833,7,107,107.0,0.000771000050008297,10,10.0,0.010346860624849796,1.9598866701126099,19.05532996303134,19.05532996303134,529,14000,190.84042358398438
30.07,0.49759262800216675,0.5024073719978333,30.07,0.6623879671096802,0.02918820705137737,8,86,86.0,0.0009641238139010966,9,9.0,0.012144137173891068,1.940943956375122,16.50409343163083,16.50409343163083,593,16000,155.88665771484375
33.36,0.4973039925098419,0.5026960968971252,33.36,0.6549043655395508,0.05403577427823092,9,94,94.0,0.00102191511541605,8,8.0,0.017221204936504364,1.927342176437378,17.510294115176933,17.510294115176933,650,18000,146.71237182617188
36.94,0.4998449683189392,0.5001552700996399,36.94,0.6476966142654419,0.05422998245159005,10,135,135.0,0.000991975306533277,8,8.0,0.017990704625844955,1.9141737222671509,19.51656732112489,19.51656732112489,699,20000,220.91445922851562
37.81,0.4905462861061096,0.5094537734985352,37.81,0.6390279531478882,0.06501385224410294,11,135,135.0,0.0011037718504667282,8,8.0,0.018162300810217857,1.8985683917999268,20.955999141057433,20.955999141057433,753,22000,193.39138793945312
41.1,0.4893917739391327,0.5106081962585449,41.1,0.6332682967185974,0.06255932881190751,12,135,135.0,0.0011261098552495241,12,12.0,0.015779105946421623,1.8886339664459229,26.150143403048478,26.150143403048478,798,24000,308.94769287109375
