# {"t_start": 1558271003.053013} 
r,l,t
13.0,13,0.023483
18.0,18,0.026406
28.0,28,0.032168
32.0,32,0.034395
14.0,14,0.034452
35.0,35,0.04449
19.0,19,0.047028
24.0,24,0.047942
12.0,12,0.054074
17.0,17,0.058765
20.0,20,0.061124
40.0,40,0.061176
13.0,13,0.065992
13.0,13,0.068279
14.0,14,0.068944
32.0,32,0.072188
9.0,9,0.073288
15.0,15,0.074407
10.0,10,0.078005
18.0,18,0.07921
13.0,13,0.080923
16.0,16,0.087696
18.0,18,0.090036
26.0,26,0.090088
19.0,19,0.092355
13.0,13,0.097366
17.0,17,0.097421
17.0,17,0.099588
14.0,14,0.100169
14.0,14,0.107238
16.0,16,0.109178
21.0,21,0.115102
11.0,11,0.115688
19.0,19,0.119115
17.0,17,0.125439
23.0,23,0.130096
21.0,21,0.132367
52.0,52,0.133654
13.0,13,0.141252
22.0,22,0.143016
22.0,22,0.145304
44.0,44,0.151284
18.0,18,0.15553
38.0,38,0.162892
39.0,39,0.165192
33.0,33,0.174186
17.0,17,0.174876
25.0,25,0.177169
17.0,17,0.184346
23.0,23,0.187175
63.0,63,0.18723
21.0,21,0.189032
15.0,15,0.197453
26.0,26,0.200869
24.0,24,0.20438
23.0,23,0.210793
41.0,41,0.212453
32.0,32,0.219351
18.0,18,0.221105
32.0,32,0.223002
12.0,12,0.226428
16.0,16,0.230187
37.0,37,0.233642
9.0,9,0.235475
17.0,17,0.236111
10.0,10,0.239688
30.0,30,0.240525
10.0,10,0.241948
9.0,9,0.24629
16.0,16,0.246887
11.0,11,0.252551
21.0,21,0.253722
18.0,18,0.257769
8.0,8,0.257827
33.0,33,0.262333
15.0,15,0.262939
12.0,12,0.264704
17.0,17,0.267396
11.0,11,0.26904
14.0,14,0.27021
11.0,11,0.273721
16.0,16,0.273774
15.0,15,0.278844
20.0,20,0.280612
12.0,12,0.280665
10.0,10,0.28467
20.0,20,0.2853
23.0,23,0.293833
17.0,17,0.29499
29.0,29,0.297326
14.0,14,0.301688
11.0,11,0.303487
16.0,16,0.304082
17.0,17,0.313804
20.0,20,1.71906
19.0,19,1.733395
24.0,24,1.735458
46.0,46,1.736351
80.0,80,1.73954
15.0,15,1.74662
20.0,20,1.749117
27.0,27,1.757674
18.0,18,1.759105
24.0,24,1.765821
14.0,14,1.767161
49.0,49,1.767214
12.0,12,1.77485
16.0,16,1.777454
39.0,39,1.78447
10.0,10,1.79114
23.0,23,1.792466
29.0,29,1.793821
56.0,56,1.80253
17.0,17,1.805237
28.0,28,1.811092
16.0,16,1.813325
17.0,17,1.822251
33.0,33,1.827025
68.0,68,1.837557
15.0,15,1.838372
38.0,38,1.83987
32.0,32,1.844942
16.0,16,1.850154
20.0,20,1.850878
11.0,11,1.852232
21.0,21,1.852283
16.0,16,1.863267
22.0,22,1.866303
16.0,16,1.874661
12.0,12,1.874729
33.0,33,1.875417
46.0,46,1.881796
14.0,14,1.883757
21.0,21,1.88806
22.0,22,1.889713
11.0,11,1.890982
18.0,18,1.900756
21.0,21,1.901399
32.0,32,1.902032
11.0,11,1.907348
29.0,29,1.908572
20.0,20,1.913515
15.0,15,1.916411
26.0,26,1.917632
19.0,19,1.920165
12.0,12,1.920834
16.0,16,1.927827
12.0,12,1.928513
20.0,20,1.929316
15.0,15,1.930054
9.0,9,1.934099
10.0,10,1.935436
16.0,16,1.937986
17.0,17,1.940444
17.0,17,1.944641
10.0,10,1.946553
38.0,38,1.958621
25.0,25,1.961556
41.0,41,1.962782
41.0,41,1.969397
34.0,34,1.978685
28.0,28,1.979321
12.0,12,1.986235
22.0,22,1.992442
11.0,11,1.993715
55.0,55,1.994921
11.0,11,2.000726
20.0,20,2.006434
12.0,12,2.009413
8.0,8,2.011225
26.0,26,2.012554
10.0,10,2.01546
12.0,12,2.019774
88.0,88,2.02508
29.0,29,2.029478
31.0,31,2.035114
10.0,10,2.035772
26.0,26,2.036391
23.0,23,2.039621
11.0,11,2.042618
14.0,14,2.283118
26.0,26,2.287149
9.0,9,2.291493
28.0,28,2.291566
12.0,12,2.297212
29.0,29,2.299321
13.0,13,2.300739
15.0,15,2.30215
9.0,9,2.303539
10.0,10,2.307657
13.0,13,2.308406
16.0,16,2.318389
22.0,22,2.323111
32.0,32,2.323938
34.0,34,2.326678
16.0,16,2.337558
29.0,29,2.338203
12.0,12,2.345508
24.0,24,2.354095
46.0,46,2.354761
18.0,18,2.35788
16.0,16,2.368395
24.0,24,2.371071
82.0,82,2.378419
14.0,14,2.380999
23.0,23,2.384402
45.0,45,2.385204
17.0,17,2.390713
